form_id,cancer_site_or_form,supplement_pages,has_tnm_definitions,has_stage_group,no_prognostic_stage_group,stage_group_sections_detected,t_categories_defined,n_categories_defined,m_categories_defined,required_inputs_in_stage_table,stage_table_risk_flags,tool_model_recommendation,tnm_first_strategy,exception_category,release_status,tnm_default_policy
24.0,Gallbladder,153-156,True,True,False,single/shared table,TX T0 Tis T1 T1a T1b T2 T2a T2b T3 T4,NX N0 N1 N2,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
25.0,Perihilar Bile Ducts,157-159,True,True,False,single/shared table,TX T0 Tis T1 T2 T2a T2b T3 T4,NX N0 N1 N2,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
26.0,Distal Bile Duct,160-163,True,True,False,single/shared table,TX Tis T1 T2 T3 T4,NX N0 N1 N2,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
27.0,Ampulla of Vater,164-167,True,True,False,single/shared table,TX T0 Tis T1 T1a T1b T2 T3 T3a T3b T4,NX N0 N1 N2,M0 M1 MX,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
28.0,Exocrine Pancreas,168-171,True,True,False,single/shared table,TX T0 Tis T1 T1a T1b T1c T2 T3 T4,NX N0 N1 N2,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
29.0,Neuroendocrine Tumors of the Stomach,172-175,True,True,False,single/shared table,TX T0 T1 T2 T3 T4,NX N0 N1,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
30.0,Neuroendocrine Tumors of the Duodenum and Ampulla of Vater,176-181,True,True,False,single/shared table,TX T1 T2 T3 T4,NX N0 N1,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
31.0,Neuroendocrine Tumors of the Jejunum and Ileum,182-186,True,True,False,single/shared table,TX T0 T1 T2 T3 T4,NX N0 N1 N2,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
32.0,Neuroendocrine Tumors of the Appendix,187-191,True,True,False,single/shared table,TX T0 T1 T2 T3 T4,NX N0 N1,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
33.0,Neuroendocrine Tumors of the Colon and Rectum,192-195,True,True,False,single/shared table,TX T0 T1 T1a T1b T2 T3 T4,NX N0 N1,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
34.0,Neuroendocrine Tumors of the Pancreas,196-200,True,True,False,single/shared table,TX T1 T2 T3 T4,NX N0 N1,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
43.1,Gastrointestinal Stromal Tumor: Gastric and Omental GIST,240-242,True,True,False,single/shared table,TX T0 T1 T2 T3 T4,N0 N1,M0 M1 MX,mitotic rate,requires mitotic rate,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
43.2,"Gastrointestinal Stromal Tumor: Small Intestinal, Esophageal, Colorectal, Mesenteric,",243-245,True,True,False,single/shared table,TX T0 T1 T2 T3 T4,N0 N1,M0 M1 MX,mitotic rate,requires mitotic rate,Smart-form needed before validated release.,tnm_plus_extra_inputs,TNM plus required non-TNM inputs,build_smart_form_or_warn_until_inputs_exist,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
77.0,Adrenal – Neuroendocrine Tumors,460-463,True,True,False,single/shared table,TX T1 T2 T3,NX N0 N1,M0 M1 MX,,,TNM-only may be sufficient; verify table rows.,tnm_basic,TNM-first basic table,build_rule_rows_now,Use TNM as default; do not suppress calculation solely because a site has subcategories. Require exact subcategory selection when listed; show exception warning only for required non-TNM factors or no stage group.
