site,edition,audit_status,stage_group_sections,required_inputs,risk_flags,recommendation,source_pages,notes
Esophagus and Esophagogastric Junction: Adenocarcinoma,AJCC8,metadata-audited-v0.2,clinical/cTNM; pathological/pTNM; post-neoadjuvant/yp,grade/G; histology,stage table uses T subcategories; separate stage tables by classification; requires grade/G; requires histology,Smart-form needed before validated release.,101-106,Stage table metadata only; rule rows require separate validation.
Esophagus and Esophagogastric Junction: Other Histologies,AJCC8,metadata-audited-v0.2,none,histology,no prognostic stage grouping; requires histology,No stage-group calculation; show note.,107-111,Stage table metadata only; rule rows require separate validation.
Stomach,AJCC8,metadata-audited-v0.2,clinical/cTNM; pathological/pTNM; post-neoadjuvant/yp,,stage table uses N subcategories; stage table uses T subcategories; separate stage tables by classification,Smart-form needed before validated release.,112-118,Stage table metadata only; rule rows require separate validation.
Small Intestine: Adenocarcinoma,AJCC8,metadata-audited-v0.2,single/shared table,,,TNM-only may be sufficient; verify table rows.,120-125,Stage table metadata only; rule rows require separate validation.
Small Intestine: Other Histologies,AJCC8,metadata-audited-v0.2,none,histology,no prognostic stage grouping; requires histology,No stage-group calculation; show note.,126-130,Stage table metadata only; rule rows require separate validation.
Appendix - Carcinoma,AJCC8,metadata-audited-v0.2,single/shared table,grade/G,stage table uses T subcategories; stage table uses M subcategories; requires grade/G,Smart-form needed before validated release.,131-135,Stage table metadata only; rule rows require separate validation.
Colon and Rectum,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses N subcategories; stage table uses T subcategories; stage table uses M subcategories,TNM lookup possible only with exact subcategories.,136-140,Stage table metadata only; rule rows require separate validation.
Anus,AJCC8,metadata-audited-v0.2,single/shared table,,,TNM-only may be sufficient; verify table rows.,141-144,Stage table metadata only; rule rows require separate validation.
Liver,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,145-148,Stage table metadata only; rule rows require separate validation.
Intrahepatic Bile Duct,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,149-152,Stage table metadata only; rule rows require separate validation.
Gallbladder,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,153-156,Stage table metadata only; rule rows require separate validation.
Perihilar Bile Ducts,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,157-159,Stage table metadata only; rule rows require separate validation.
Distal Bile Duct,AJCC8,metadata-audited-v0.2,single/shared table,,,TNM-only may be sufficient; verify table rows.,160-163,Stage table metadata only; rule rows require separate validation.
Ampulla of Vater,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,164-167,Stage table metadata only; rule rows require separate validation.
Exocrine Pancreas,AJCC8,metadata-audited-v0.2,single/shared table,,,TNM-only may be sufficient; verify table rows.,168-171,Stage table metadata only; rule rows require separate validation.
Neuroendocrine Tumors of the Stomach,AJCC8,metadata-audited-v0.2,single/shared table,,,TNM-only may be sufficient; verify table rows.,172-175,Stage table metadata only; rule rows require separate validation.
Neuroendocrine Tumors of the Duodenum and Ampulla of Vater,AJCC8,metadata-audited-v0.2,single/shared table,,,TNM-only may be sufficient; verify table rows.,176-181,Stage table metadata only; rule rows require separate validation.
Neuroendocrine Tumors of the Jejunum and Ileum,AJCC8,metadata-audited-v0.2,single/shared table,,,TNM-only may be sufficient; verify table rows.,182-186,Stage table metadata only; rule rows require separate validation.
Neuroendocrine Tumors of the Appendix,AJCC8,metadata-audited-v0.2,single/shared table,,,TNM-only may be sufficient; verify table rows.,187-191,Stage table metadata only; rule rows require separate validation.
Neuroendocrine Tumors of the Colon and Rectum,AJCC8,metadata-audited-v0.2,single/shared table,,,TNM-only may be sufficient; verify table rows.,192-195,Stage table metadata only; rule rows require separate validation.
Neuroendocrine Tumors of the Pancreas,AJCC8,metadata-audited-v0.2,single/shared table,,,TNM-only may be sufficient; verify table rows.,196-200,Stage table metadata only; rule rows require separate validation.
Thymus,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses T subcategories; stage table uses M subcategories,TNM lookup possible only with exact subcategories.,201-203,Stage table metadata only; rule rows require separate validation.
Lung,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses T subcategories; stage table uses M subcategories,TNM lookup possible only with exact subcategories.,204-209,Stage table metadata only; rule rows require separate validation.
Malignant Pleural Mesothelioma,AJCC8,metadata-audited-v0.2,single/shared table,,,TNM-only may be sufficient; verify table rows.,210-214,Stage table metadata only; rule rows require separate validation.
"Bone: Appendicular Skeleton, Trunk, Skull and Facial Bones",AJCC8,metadata-audited-v0.2,single/shared table,grade/G,stage table uses M subcategories; requires grade/G,Smart-form needed before validated release.,216-219,Stage table metadata only; rule rows require separate validation.
Bone: Spine,AJCC8,metadata-audited-v0.2,none,,no prognostic stage grouping,No stage-group calculation; show note.,220-222,Stage table metadata only; rule rows require separate validation.
Bone: Pelvis,AJCC8,metadata-audited-v0.2,none,,no prognostic stage grouping,No stage-group calculation; show note.,223-226,Stage table metadata only; rule rows require separate validation.
Soft Tissue Sarcoma of the Head and Neck,AJCC8,metadata-audited-v0.2,single/shared table,,,TNM-only may be sufficient; verify table rows.,227-230,Stage table metadata only; rule rows require separate validation.
Soft Tissue Sarcoma of the Trunk and Extremities,AJCC8,metadata-audited-v0.2,single/shared table,grade/G,requires grade/G,Smart-form needed before validated release.,231-234,Stage table metadata only; rule rows require separate validation.
Soft Tissue Sarcoma of the Abdomen and Thoracic Visceral Organs,AJCC8,metadata-audited-v0.2,single/shared table,,,TNM-only may be sufficient; verify table rows.,235-238,Stage table metadata only; rule rows require separate validation.
Gastrointestinal Stromal Tumor: Gastric and Omental GIST,AJCC8,metadata-audited-v0.2,single/shared table,mitotic rate,requires mitotic rate,Smart-form needed before validated release.,240-242,Stage table metadata only; rule rows require separate validation.
"Gastrointestinal Stromal Tumor: Small Intestinal, Esophageal, Colorectal, Mesenteric,",AJCC8,metadata-audited-v0.2,single/shared table,mitotic rate,requires mitotic rate,Smart-form needed before validated release.,243-245,Stage table metadata only; rule rows require separate validation.
Soft Tissue Sarcoma of the Retroperitoneum,AJCC8,metadata-audited-v0.2,single/shared table,grade/G,requires grade/G,Smart-form needed before validated release.,246-249,Stage table metadata only; rule rows require separate validation.
Soft Tissue Sarcoma – Unusual Histologies and Sites,AJCC8,metadata-audited-v0.2,none,histology,no prognostic stage grouping; requires histology,No stage-group calculation; show note.,250-252,Stage table metadata only; rule rows require separate validation.
Merkel Cell Carcinoma,AJCC8,metadata-audited-v0.2,clinical/cTNM; pathological/pTNM,,stage table uses N subcategories; separate stage tables by classification,Smart-form needed before validated release.,253-257,Stage table metadata only; rule rows require separate validation.
Melanoma of the Skin,AJCC8,metadata-audited-v0.2,clinical/cTNM; pathological/pTNM,histology,stage table uses N subcategories; stage table uses T subcategories; separate stage tables by classification; requires histology,Smart-form needed before validated release.,258-267,Stage table metadata only; rule rows require separate validation.
Breast,AJCC8,metadata-audited-v0.2,recurrence/r,grade/G; ER/PR/HER2; Oncotype/multigene,stage table uses N subcategories; stage table uses T subcategories; requires grade/G; requires ER/PR/HER2; requires Oncotype/multigene,Smart-form needed before validated release.,268-289,Stage table metadata only; rule rows require separate validation.
Vulva,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses N subcategories; stage table uses T subcategories,TNM lookup possible only with exact subcategories.,290-294,Stage table metadata only; rule rows require separate validation.
Vagina,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,295-299,Stage table metadata only; rule rows require separate validation.
Cervix Uteri,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,300-303,Stage table metadata only; rule rows require separate validation.
Corpus Uteri – Carcinoma and Carcinosarcoma,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses N subcategories; stage table uses T subcategories,TNM lookup possible only with exact subcategories.,304-308,Stage table metadata only; rule rows require separate validation.
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,310-313,Stage table metadata only; rule rows require separate validation.
Corpus Uteri – Adenosarcoma,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,314-317,Stage table metadata only; rule rows require separate validation.
"Ovary, Fallopian Tube and Primary Peritoneal Carcinoma",AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses T subcategories; stage table uses M subcategories,TNM lookup possible only with exact subcategories.,318-322,Stage table metadata only; rule rows require separate validation.
Gestational Trophoblastic Neoplasms,AJCC8,metadata-audited-v0.2,single/shared table,age,stage table uses M subcategories; requires age,Smart-form needed before validated release.,323-330,Stage table metadata only; rule rows require separate validation.
Penis,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,331-334,Stage table metadata only; rule rows require separate validation.
Prostate,AJCC8,metadata-audited-v0.2,single/shared table,grade/G; PSA; Gleason/Grade Group,stage table uses T subcategories; requires grade/G; requires PSA; requires Gleason/Grade Group,Smart-form needed before validated release.,335-339,Stage table metadata only; rule rows require separate validation.
Testis,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses M subcategories,TNM lookup possible only with exact subcategories.,340-345,Stage table metadata only; rule rows require separate validation.
Kidney,AJCC8,metadata-audited-v0.2,single/shared table,,,TNM-only may be sufficient; verify table rows.,346-349,Stage table metadata only; rule rows require separate validation.
Urinary Bladder: Urothelial Carcinomas,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses T subcategories; stage table uses M subcategories,TNM lookup possible only with exact subcategories.,360-363,Stage table metadata only; rule rows require separate validation.
Urinary Bladder: Squamous Cell Carcinoma and Adenocarcinoma,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses T subcategories; stage table uses M subcategories,TNM lookup possible only with exact subcategories.,364-368,Stage table metadata only; rule rows require separate validation.
Male Penile Urethra and Female Urethra: Urothelial Carcinomas,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,370-374,Stage table metadata only; rule rows require separate validation.
Male Penile and Female Urethra: Squamous Cell Carcinoma and Adenocarcinoma,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,375-379,Stage table metadata only; rule rows require separate validation.
Prostatic Urethra: Urothelial Carcinomas,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,380-384,Stage table metadata only; rule rows require separate validation.
Prostatic Urethra: Squamous Cell Carcinoma and Adenocarcinoma,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,385-389,Stage table metadata only; rule rows require separate validation.
Eyelid Carcinoma,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,390-393,Stage table metadata only; rule rows require separate validation.
Conjunctival Carcinoma,AJCC8,metadata-audited-v0.2,single/shared table,,,TNM-only may be sufficient; verify table rows.,394-398,Stage table metadata only; rule rows require separate validation.
Conjunctival Melanoma,AJCC8,metadata-audited-v0.2,single/shared table,histology,requires histology,Smart-form needed before validated release.,399-403,Stage table metadata only; rule rows require separate validation.
Uveal Melanoma – Iris Melanoma,AJCC8,metadata-audited-v0.2,single/shared table,histology,requires histology,Smart-form needed before validated release.,405-409,Stage table metadata only; rule rows require separate validation.
Uveal Melanoma – Choroidal and Ciliary Body Melanoma,AJCC8,metadata-audited-v0.2,single/shared table,histology,stage table uses T subcategories; stage table uses M subcategories; requires histology,Smart-form needed before validated release.,410-415,Stage table metadata only; rule rows require separate validation.
Retinoblastoma,AJCC8,metadata-audited-v0.2,clinical/cTNM; pathological/pTNM,heritable trait/H,stage table uses T subcategories; separate stage tables by classification; requires heritable trait/H,Smart-form needed before validated release.,416-421,Stage table metadata only; rule rows require separate validation.
Lacrimal Gland Carcinoma,AJCC8,metadata-audited-v0.2,single/shared table,,,TNM-only may be sufficient; verify table rows.,422-426,Stage table metadata only; rule rows require separate validation.
Orbital Sarcoma,AJCC8,metadata-audited-v0.2,single/shared table,,,TNM-only may be sufficient; verify table rows.,427-430,Stage table metadata only; rule rows require separate validation.
Ocular Adnexal Lymphoma,AJCC8,metadata-audited-v0.2,none,,no prognostic stage grouping,No stage-group calculation; show note.,431-434,Stage table metadata only; rule rows require separate validation.
Brain and Spinal Cord,AJCC8,metadata-audited-v0.2,single/shared table,,,TNM-only may be sufficient; verify table rows.,435-437,Stage table metadata only; rule rows require separate validation.
Thyroid – Differentiated,AJCC8,metadata-audited-v0.2,single/shared table,age,stage table uses T subcategories; requires age,Smart-form needed before validated release.,439-443,Stage table metadata only; rule rows require separate validation.
Thyroid – Anaplastic,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,444-447,Stage table metadata only; rule rows require separate validation.
Thyroid – Medullary,AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses N subcategories; stage table uses T subcategories,TNM lookup possible only with exact subcategories.,448-451,Stage table metadata only; rule rows require separate validation.
Parathyroid,AJCC8,metadata-audited-v0.2,single/shared table,,,TNM-only may be sufficient; verify table rows.,452-455,Stage table metadata only; rule rows require separate validation.
Adrenal Cortical Carcinoma,AJCC8,metadata-audited-v0.2,single/shared table,,,TNM-only may be sufficient; verify table rows.,456-459,Stage table metadata only; rule rows require separate validation.
Adrenal – Neuroendocrine Tumors,AJCC8,metadata-audited-v0.2,single/shared table,,,TNM-only may be sufficient; verify table rows.,460-463,Stage table metadata only; rule rows require separate validation.
Non-Hodgkin Lymphomas: Unspecified or Other Type,AJCC8,metadata-audited-v0.2,single/shared table,histology; B symptoms / Ann Arbor factors,requires histology; requires B symptoms / Ann Arbor factors,Smart-form needed before validated release.,465-467,Stage table metadata only; rule rows require separate validation.
Non-Hodgkin Lymphomas: Diffuse Large B Cell Lymphoma,AJCC8,metadata-audited-v0.2,single/shared table,histology; B symptoms / Ann Arbor factors,requires histology; requires B symptoms / Ann Arbor factors,Smart-form needed before validated release.,468-470,Stage table metadata only; rule rows require separate validation.
Non-Hodgkin Lymphomas: Mantle Cell Lymphoma,AJCC8,metadata-audited-v0.2,single/shared table,histology; B symptoms / Ann Arbor factors,requires histology; requires B symptoms / Ann Arbor factors,Smart-form needed before validated release.,471-473,Stage table metadata only; rule rows require separate validation.
Non-Hodgkin Lymphomas: Follicular Lymphoma,AJCC8,metadata-audited-v0.2,single/shared table,histology; B symptoms / Ann Arbor factors,requires histology; requires B symptoms / Ann Arbor factors,Smart-form needed before validated release.,474-476,Stage table metadata only; rule rows require separate validation.
Non-Hodgkin Lymphomas: Marginal Zone Lymphoma,AJCC8,metadata-audited-v0.2,single/shared table,histology; B symptoms / Ann Arbor factors,requires histology; requires B symptoms / Ann Arbor factors,Smart-form needed before validated release.,477-479,Stage table metadata only; rule rows require separate validation.
Non-Hodgkin Lymphomas: Chronic Lymphocytic Leukemia and Small Lymphocytic,AJCC8,metadata-audited-v0.2,single/shared table,histology; B symptoms / Ann Arbor factors,requires histology; requires B symptoms / Ann Arbor factors,Smart-form needed before validated release.,480-482,Stage table metadata only; rule rows require separate validation.
Non-Hodgkin Lymphomas: Peripheral T-cell Lymphoma,AJCC8,metadata-audited-v0.2,single/shared table,histology; B symptoms / Ann Arbor factors,requires histology; requires B symptoms / Ann Arbor factors,Smart-form needed before validated release.,483-485,Stage table metadata only; rule rows require separate validation.
Hodgkin Lymphoma,AJCC8,metadata-audited-v0.2,single/shared table,histology; B symptoms / Ann Arbor factors,requires histology; requires B symptoms / Ann Arbor factors,Smart-form needed before validated release.,486-488,Stage table metadata only; rule rows require separate validation.
Pediatric Hodgkin Lymphoma,AJCC8,metadata-audited-v0.2,single/shared table,histology; B symptoms / Ann Arbor factors,requires histology; requires B symptoms / Ann Arbor factors,Smart-form needed before validated release.,490-492,Stage table metadata only; rule rows require separate validation.
Pediatric Non-Hodgkin Lymphoma,AJCC8,metadata-audited-v0.2,single/shared table,tumor location/site,requires tumor location/site,Smart-form needed before validated release.,493-495,Stage table metadata only; rule rows require separate validation.
Primary Cutaneous Lymphoma: Mycosis Fungoides and Sézary Syndrome,AJCC8,metadata-audited-v0.2,single/shared table,,,TNM-only may be sufficient; verify table rows.,497-501,Stage table metadata only; rule rows require separate validation.
Primary Cutaneous Lymphoma: Primary Cutaneous B-Cell/T-Cell (non-MF/SS),AJCC8,metadata-audited-v0.2,single/shared table,,stage table uses T subcategories,TNM lookup possible only with exact subcategories.,502-504,Stage table metadata only; rule rows require separate validation.
Plasma Cell Myeloma and Plasma Cell Disorders,AJCC8,metadata-audited-v0.2,single/shared table,LDH,requires LDH,Smart-form needed before validated release.,505-507,Stage table metadata only; rule rows require separate validation.
