site,edition,classification,category_type,category,short_definition,detail_note,verification_status,source_pdf_page,source_section,definition_origin
Adrenal Cortical Carcinoma,AJCC8,any,T,T3,Primary tumor category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required. | SURROGATE_AJCC8_DEFINITION_FROM_AJCC7_REVIEW_REQUIRED_v1.7: AJCC8 explicit definition not extractable from uploaded PDF; AJCC7 wording displayed pending cancer committee validation.,fallback_from_AJCC7_for_AJCC8_review_required_v1_7,,,surrogate_definition_from_AJCC7_v1_7
Adrenal Cortical Carcinoma,AJCC8,any,T,T4,Primary tumor category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required. | SURROGATE_AJCC8_DEFINITION_FROM_AJCC7_REVIEW_REQUIRED_v1.7: AJCC8 explicit definition not extractable from uploaded PDF; AJCC7 wording displayed pending cancer committee validation.,fallback_from_AJCC7_for_AJCC8_review_required_v1_7,,,surrogate_definition_from_AJCC7_v1_7
Adrenal Cortical Carcinoma,AJCC8,any,N,N0,No regional lymph node metastasis; site-specific wording requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required. | SURROGATE_AJCC8_DEFINITION_FROM_AJCC7_REVIEW_REQUIRED_v1.7: AJCC8 explicit definition not extractable from uploaded PDF; AJCC7 wording displayed pending cancer committee validation.,fallback_from_AJCC7_for_AJCC8_review_required_v1_7,,,surrogate_definition_from_AJCC7_v1_7
Adrenal Cortical Carcinoma,AJCC8,any,N,N1,Regional lymph node category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required. | SURROGATE_AJCC8_DEFINITION_FROM_AJCC7_REVIEW_REQUIRED_v1.7: AJCC8 explicit definition not extractable from uploaded PDF; AJCC7 wording displayed pending cancer committee validation.,fallback_from_AJCC7_for_AJCC8_review_required_v1_7,,,surrogate_definition_from_AJCC7_v1_7
Adrenal Cortical Carcinoma,AJCC8,any,M,M0,No distant metastasis; site-specific wording requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required. | SURROGATE_AJCC8_DEFINITION_FROM_AJCC7_REVIEW_REQUIRED_v1.7: AJCC8 explicit definition not extractable from uploaded PDF; AJCC7 wording displayed pending cancer committee validation.,fallback_from_AJCC7_for_AJCC8_review_required_v1_7,,,surrogate_definition_from_AJCC7_v1_7
Adrenal Cortical Carcinoma,AJCC8,any,M,M1,Distant metastasis category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required. | SURROGATE_AJCC8_DEFINITION_FROM_AJCC7_REVIEW_REQUIRED_v1.7: AJCC8 explicit definition not extractable from uploaded PDF; AJCC7 wording displayed pending cancer committee validation.,fallback_from_AJCC7_for_AJCC8_review_required_v1_7,,,surrogate_definition_from_AJCC7_v1_7
Adrenal – Neuroendocrine Tumors,AJCC7,any,T,T1,Primary tumor category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required.,generic_fallback_v1_6_review_required,,,generated_rule_category_fallback_v1_6
Adrenal – Neuroendocrine Tumors,AJCC7,any,T,T2,Primary tumor category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required.,generic_fallback_v1_6_review_required,,,generated_rule_category_fallback_v1_6
Adrenal – Neuroendocrine Tumors,AJCC7,any,T,T3,Primary tumor category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required.,generic_fallback_v1_6_review_required,,,generated_rule_category_fallback_v1_6
Adrenal – Neuroendocrine Tumors,AJCC7,any,T,T4,Primary tumor category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required.,generic_fallback_v1_6_review_required,,,generated_rule_category_fallback_v1_6
Adrenal – Neuroendocrine Tumors,AJCC7,any,T,Tis,Carcinoma in situ or site-specific in-situ category; site-specific wording requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required.,generic_fallback_v1_6_review_required,,,generated_rule_category_fallback_v1_6
Adrenal – Neuroendocrine Tumors,AJCC7,any,N,N0,No regional lymph node metastasis; site-specific wording requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required.,generic_fallback_v1_6_review_required,,,generated_rule_category_fallback_v1_6
Adrenal – Neuroendocrine Tumors,AJCC7,any,N,N1,Regional lymph node category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required.,generic_fallback_v1_6_review_required,,,generated_rule_category_fallback_v1_6
Adrenal – Neuroendocrine Tumors,AJCC7,any,M,M0,No distant metastasis; site-specific wording requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required.,generic_fallback_v1_6_review_required,,,generated_rule_category_fallback_v1_6
Adrenal – Neuroendocrine Tumors,AJCC7,any,M,M1,Distant metastasis category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required.,generic_fallback_v1_6_review_required,,,generated_rule_category_fallback_v1_6
Adrenal – Neuroendocrine Tumors,AJCC8,any,T,T1,Primary tumor category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required. | SURROGATE_AJCC8_DEFINITION_FROM_AJCC7_REVIEW_REQUIRED_v1.7: AJCC8 explicit definition not extractable from uploaded PDF; AJCC7 wording displayed pending cancer committee validation.,fallback_from_AJCC7_for_AJCC8_review_required_v1_7,,,surrogate_definition_from_AJCC7_v1_7
Adrenal – Neuroendocrine Tumors,AJCC8,any,T,T2,Primary tumor category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required. | SURROGATE_AJCC8_DEFINITION_FROM_AJCC7_REVIEW_REQUIRED_v1.7: AJCC8 explicit definition not extractable from uploaded PDF; AJCC7 wording displayed pending cancer committee validation.,fallback_from_AJCC7_for_AJCC8_review_required_v1_7,,,surrogate_definition_from_AJCC7_v1_7
Adrenal – Neuroendocrine Tumors,AJCC8,any,T,T3,Primary tumor category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required. | SURROGATE_AJCC8_DEFINITION_FROM_AJCC7_REVIEW_REQUIRED_v1.7: AJCC8 explicit definition not extractable from uploaded PDF; AJCC7 wording displayed pending cancer committee validation.,fallback_from_AJCC7_for_AJCC8_review_required_v1_7,,,surrogate_definition_from_AJCC7_v1_7
Adrenal – Neuroendocrine Tumors,AJCC8,any,T,T4,Primary tumor category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required. | SURROGATE_AJCC8_DEFINITION_FROM_AJCC7_REVIEW_REQUIRED_v1.7: AJCC8 explicit definition not extractable from uploaded PDF; AJCC7 wording displayed pending cancer committee validation.,fallback_from_AJCC7_for_AJCC8_review_required_v1_7,,,surrogate_definition_from_AJCC7_v1_7
Adrenal – Neuroendocrine Tumors,AJCC8,any,T,Tis,Carcinoma in situ or site-specific in-situ category; site-specific wording requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required. | SURROGATE_AJCC8_DEFINITION_FROM_AJCC7_REVIEW_REQUIRED_v1.7: AJCC8 explicit definition not extractable from uploaded PDF; AJCC7 wording displayed pending cancer committee validation.,fallback_from_AJCC7_for_AJCC8_review_required_v1_7,,,surrogate_definition_from_AJCC7_v1_7
Adrenal – Neuroendocrine Tumors,AJCC8,any,N,N0,No regional lymph node metastasis; site-specific wording requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required. | SURROGATE_AJCC8_DEFINITION_FROM_AJCC7_REVIEW_REQUIRED_v1.7: AJCC8 explicit definition not extractable from uploaded PDF; AJCC7 wording displayed pending cancer committee validation.,fallback_from_AJCC7_for_AJCC8_review_required_v1_7,,,surrogate_definition_from_AJCC7_v1_7
Adrenal – Neuroendocrine Tumors,AJCC8,any,N,N1,Regional lymph node category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required. | SURROGATE_AJCC8_DEFINITION_FROM_AJCC7_REVIEW_REQUIRED_v1.7: AJCC8 explicit definition not extractable from uploaded PDF; AJCC7 wording displayed pending cancer committee validation.,fallback_from_AJCC7_for_AJCC8_review_required_v1_7,,,surrogate_definition_from_AJCC7_v1_7
Adrenal – Neuroendocrine Tumors,AJCC8,any,M,M0,No distant metastasis; site-specific wording requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required. | SURROGATE_AJCC8_DEFINITION_FROM_AJCC7_REVIEW_REQUIRED_v1.7: AJCC8 explicit definition not extractable from uploaded PDF; AJCC7 wording displayed pending cancer committee validation.,fallback_from_AJCC7_for_AJCC8_review_required_v1_7,,,surrogate_definition_from_AJCC7_v1_7
Adrenal – Neuroendocrine Tumors,AJCC8,any,M,M1,Distant metastasis category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required. | SURROGATE_AJCC8_DEFINITION_FROM_AJCC7_REVIEW_REQUIRED_v1.7: AJCC8 explicit definition not extractable from uploaded PDF; AJCC7 wording displayed pending cancer committee validation.,fallback_from_AJCC7_for_AJCC8_review_required_v1_7,,,surrogate_definition_from_AJCC7_v1_7
Ampulla of Vater,AJCC7,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7,,protected_curated_gi_definition_from_v0_8_2,protected_known_good_v0_8_2
Ampulla of Vater,AJCC7,any,T,T1,Tumor limited to ampulla of Vater or sphincter of Oddi（限於 Vater 壺腹或 Oddi 括約肌）,,checked_v0_7,,protected_curated_gi_definition_from_v0_8_2,protected_known_good_v0_8_2
Ampulla of Vater,AJCC7,any,T,T2,Tumor invades duodenal wall（侵犯十二指腸壁）,,checked_v0_7,,protected_curated_gi_definition_from_v0_8_2,protected_known_good_v0_8_2
Ampulla of Vater,AJCC7,any,T,T3,Tumor invades pancreas（侵犯胰臟）,,checked_v0_7,,protected_curated_gi_definition_from_v0_8_2,protected_known_good_v0_8_2
Ampulla of Vater,AJCC7,any,T,T4,Tumor invades peripancreatic soft tissues or other adjacent organs/structures（侵犯胰周軟組織或其他鄰近器官/構造）,,checked_v0_7,,protected_curated_gi_definition_from_v0_8_2,protected_known_good_v0_8_2
Ampulla of Vater,AJCC7,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7,,protected_curated_gi_definition_from_v0_8_2,protected_known_good_v0_8_2
Ampulla of Vater,AJCC7,any,T,Tis,Carcinoma in situ（原位癌）,,checked_v0_7,,protected_curated_gi_definition_from_v0_8_2,protected_known_good_v0_8_2
Ampulla of Vater,AJCC7,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7,,protected_curated_gi_definition_from_v0_8_2,protected_known_good_v0_8_2
Ampulla of Vater,AJCC7,any,N,N1,Regional lymph node metastasis（區域淋巴結轉移）,,checked_v0_7,,protected_curated_gi_definition_from_v0_8_2,protected_known_good_v0_8_2
Ampulla of Vater,AJCC7,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7,,protected_curated_gi_definition_from_v0_8_2,protected_known_good_v0_8_2
Ampulla of Vater,AJCC7,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7,,protected_curated_gi_definition_from_v0_8_2,protected_known_good_v0_8_2
Ampulla of Vater,AJCC7,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7,,protected_curated_gi_definition_from_v0_8_2,protected_known_good_v0_8_2
Ampulla of Vater,AJCC8,any,T,T0,No evidence of primary tumor（無原發腫瘤證據）,,checked_v0_7,,protected_curated_gi_definition_from_v0_8_2,protected_known_good_v0_8_2
Ampulla of Vater,AJCC8,any,T,T1,Tumor limited to ampulla/sphincter of Oddi or with perisphincteric/duodenal submucosal invasion（限於壺腹/Oddi 括約肌或侵犯括約肌周邊/十二指腸黏膜下層；依 T1a/T1b 細分）,,checked_v0_7,,protected_curated_gi_definition_from_v0_8_2,protected_known_good_v0_8_2
Ampulla of Vater,AJCC8,any,T,T1a,Tumor limited to ampulla of Vater or sphincter of Oddi（限於 Vater 壺腹或 Oddi 括約肌）,,checked_v0_7,,protected_curated_gi_definition_from_v0_8_2,protected_known_good_v0_8_2
Ampulla of Vater,AJCC8,any,T,T1b,Tumor invades beyond sphincter of Oddi and/or into duodenal submucosa（侵犯 Oddi 括約肌外及/或十二指腸黏膜下層）,,checked_v0_7,,protected_curated_gi_definition_from_v0_8_2,protected_known_good_v0_8_2
Ampulla of Vater,AJCC8,any,T,T2,Tumor invades muscularis propria of the duodenum（侵犯十二指腸固有肌層）,,checked_v0_7,,protected_curated_gi_definition_from_v0_8_2,protected_known_good_v0_8_2
Ampulla of Vater,AJCC8,any,T,T3,Tumor directly invades pancreas or peripancreatic/periduodenal tissue without major arterial involvement（直接侵犯胰臟或胰周/十二指腸周邊組織，未侵犯主要動脈；依 T3a/T3b 細分）,,checked_v0_7,,protected_curated_gi_definition_from_v0_8_2,protected_known_good_v0_8_2
Ampulla of Vater,AJCC8,any,T,T3a,Tumor directly invades pancreas up to 0.5 cm（直接侵犯胰臟 ≤0.5 cm）,,checked_v0_7,,protected_curated_gi_definition_from_v0_8_2,protected_known_good_v0_8_2
Ampulla of Vater,AJCC8,any,T,T3b,Tumor extends >0.5 cm into pancreas or into peripancreatic/periduodenal tissue or duodenal serosa without celiac/SMA involvement（侵犯胰臟 >0.5 cm 或侵犯胰周/十二指腸周邊組織/十二指腸漿膜，未侵犯腹腔幹/SMA）,,checked_v0_7,,protected_curated_gi_definition_from_v0_8_2,protected_known_good_v0_8_2
Ampulla of Vater,AJCC8,any,T,T4,"Tumor involves celiac axis, superior mesenteric artery, and/or common hepatic artery（侵犯腹腔幹、上腸繫膜動脈及/或總肝動脈）",,checked_v0_7,,protected_curated_gi_definition_from_v0_8_2,protected_known_good_v0_8_2
Ampulla of Vater,AJCC8,any,T,TX,Primary tumor cannot be assessed（原發腫瘤無法評估）,,checked_v0_7,,protected_curated_gi_definition_from_v0_8_2,protected_known_good_v0_8_2
Ampulla of Vater,AJCC8,any,T,Tis,Carcinoma in situ（原位癌）,,checked_v0_7,,protected_curated_gi_definition_from_v0_8_2,protected_known_good_v0_8_2
Ampulla of Vater,AJCC8,any,N,N0,No regional lymph node metastasis（無區域淋巴結轉移）,,checked_v0_7,,protected_curated_gi_definition_from_v0_8_2,protected_known_good_v0_8_2
Ampulla of Vater,AJCC8,any,N,N1,Metastasis in 1–3 regional lymph nodes（1–3 顆區域淋巴結轉移）,,checked_v0_7,,protected_curated_gi_definition_from_v0_8_2,protected_known_good_v0_8_2
Ampulla of Vater,AJCC8,any,N,N2,Metastasis in 4 or more regional lymph nodes（≥4 顆區域淋巴結轉移）,,checked_v0_7,,protected_curated_gi_definition_from_v0_8_2,protected_known_good_v0_8_2
Ampulla of Vater,AJCC8,any,N,NX,Regional lymph nodes cannot be assessed（區域淋巴結無法評估）,,checked_v0_7,,protected_curated_gi_definition_from_v0_8_2,protected_known_good_v0_8_2
Ampulla of Vater,AJCC8,any,M,M0,No distant metastasis（無遠端轉移）,,checked_v0_7,,protected_curated_gi_definition_from_v0_8_2,protected_known_good_v0_8_2
Ampulla of Vater,AJCC8,any,M,M1,Distant metastasis（有遠端轉移）,,checked_v0_7,,protected_curated_gi_definition_from_v0_8_2,protected_known_good_v0_8_2
Anus,AJCC7,any,T,T1,Primary tumor category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required.,generic_fallback_v1_6_review_required,,,generated_rule_category_fallback_v1_6
Anus,AJCC7,any,T,T2,Primary tumor category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required.,generic_fallback_v1_6_review_required,,,generated_rule_category_fallback_v1_6
Anus,AJCC7,any,T,T3,Primary tumor category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required.,generic_fallback_v1_6_review_required,,,generated_rule_category_fallback_v1_6
Anus,AJCC7,any,T,T4,Primary tumor category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required.,generic_fallback_v1_6_review_required,,,generated_rule_category_fallback_v1_6
Anus,AJCC7,any,T,Tis,Carcinoma in situ or site-specific in-situ category; site-specific wording requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required.,generic_fallback_v1_6_review_required,,,generated_rule_category_fallback_v1_6
Anus,AJCC7,any,N,N0,No regional lymph node metastasis; site-specific wording requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required.,generic_fallback_v1_6_review_required,,,generated_rule_category_fallback_v1_6
Anus,AJCC7,any,N,N1,Regional lymph node category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required.,generic_fallback_v1_6_review_required,,,generated_rule_category_fallback_v1_6
Anus,AJCC7,any,N,N2,Regional lymph node category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required.,generic_fallback_v1_6_review_required,,,generated_rule_category_fallback_v1_6
Anus,AJCC7,any,N,N3,Regional lymph node category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required.,generic_fallback_v1_6_review_required,,,generated_rule_category_fallback_v1_6
Anus,AJCC7,any,M,M0,No distant metastasis; site-specific wording requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required.,generic_fallback_v1_6_review_required,,,generated_rule_category_fallback_v1_6
Anus,AJCC7,any,M,M1,Distant metastasis category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required.,generic_fallback_v1_6_review_required,,,generated_rule_category_fallback_v1_6
Anus,AJCC8,any,T,T1,Primary tumor category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required. | SURROGATE_AJCC8_DEFINITION_FROM_AJCC7_REVIEW_REQUIRED_v1.7: AJCC8 explicit definition not extractable from uploaded PDF; AJCC7 wording displayed pending cancer committee validation.,fallback_from_AJCC7_for_AJCC8_review_required_v1_7,,,surrogate_definition_from_AJCC7_v1_7
Anus,AJCC8,any,T,T2,Primary tumor category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required. | SURROGATE_AJCC8_DEFINITION_FROM_AJCC7_REVIEW_REQUIRED_v1.7: AJCC8 explicit definition not extractable from uploaded PDF; AJCC7 wording displayed pending cancer committee validation.,fallback_from_AJCC7_for_AJCC8_review_required_v1_7,,,surrogate_definition_from_AJCC7_v1_7
Anus,AJCC8,any,T,T3,Primary tumor category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required. | SURROGATE_AJCC8_DEFINITION_FROM_AJCC7_REVIEW_REQUIRED_v1.7: AJCC8 explicit definition not extractable from uploaded PDF; AJCC7 wording displayed pending cancer committee validation.,fallback_from_AJCC7_for_AJCC8_review_required_v1_7,,,surrogate_definition_from_AJCC7_v1_7
Anus,AJCC8,any,T,T4,Primary tumor category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required. | SURROGATE_AJCC8_DEFINITION_FROM_AJCC7_REVIEW_REQUIRED_v1.7: AJCC8 explicit definition not extractable from uploaded PDF; AJCC7 wording displayed pending cancer committee validation.,fallback_from_AJCC7_for_AJCC8_review_required_v1_7,,,surrogate_definition_from_AJCC7_v1_7
Anus,AJCC8,any,T,Tis,Carcinoma in situ or site-specific in-situ category; site-specific wording requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required. | SURROGATE_AJCC8_DEFINITION_FROM_AJCC7_REVIEW_REQUIRED_v1.7: AJCC8 explicit definition not extractable from uploaded PDF; AJCC7 wording displayed pending cancer committee validation.,fallback_from_AJCC7_for_AJCC8_review_required_v1_7,,,surrogate_definition_from_AJCC7_v1_7
Anus,AJCC8,any,N,N0,No regional lymph node metastasis; site-specific wording requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required. | SURROGATE_AJCC8_DEFINITION_FROM_AJCC7_REVIEW_REQUIRED_v1.7: AJCC8 explicit definition not extractable from uploaded PDF; AJCC7 wording displayed pending cancer committee validation.,fallback_from_AJCC7_for_AJCC8_review_required_v1_7,,,surrogate_definition_from_AJCC7_v1_7
Anus,AJCC8,any,N,N1,Regional lymph node category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required. | SURROGATE_AJCC8_DEFINITION_FROM_AJCC7_REVIEW_REQUIRED_v1.7: AJCC8 explicit definition not extractable from uploaded PDF; AJCC7 wording displayed pending cancer committee validation.,fallback_from_AJCC7_for_AJCC8_review_required_v1_7,,,surrogate_definition_from_AJCC7_v1_7
Anus,AJCC8,any,N,N2,Regional lymph node category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required. | SURROGATE_AJCC8_DEFINITION_FROM_AJCC7_REVIEW_REQUIRED_v1.7: AJCC8 explicit definition not extractable from uploaded PDF; AJCC7 wording displayed pending cancer committee validation.,fallback_from_AJCC7_for_AJCC8_review_required_v1_7,,,surrogate_definition_from_AJCC7_v1_7
Anus,AJCC8,any,N,N3,Regional lymph node category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required. | SURROGATE_AJCC8_DEFINITION_FROM_AJCC7_REVIEW_REQUIRED_v1.7: AJCC8 explicit definition not extractable from uploaded PDF; AJCC7 wording displayed pending cancer committee validation.,fallback_from_AJCC7_for_AJCC8_review_required_v1_7,,,surrogate_definition_from_AJCC7_v1_7
Anus,AJCC8,any,M,M0,No distant metastasis; site-specific wording requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required. | SURROGATE_AJCC8_DEFINITION_FROM_AJCC7_REVIEW_REQUIRED_v1.7: AJCC8 explicit definition not extractable from uploaded PDF; AJCC7 wording displayed pending cancer committee validation.,fallback_from_AJCC7_for_AJCC8_review_required_v1_7,,,surrogate_definition_from_AJCC7_v1_7
Anus,AJCC8,any,M,M1,Distant metastasis category imported from staging table; site-specific definition requires manual review.,No strict table definition was extracted for this site/category. Cancer committee review required. | SURROGATE_AJCC8_DEFINITION_FROM_AJCC7_REVIEW_REQUIRED_v1.7: AJCC8 explicit definition not extractable from uploaded PDF; AJCC7 wording displayed pending cancer committee validation.,fallback_from_AJCC7_for_AJCC8_review_required_v1_7,,,surrogate_definition_from_AJCC7_v1_7
Appendix - Carcinoma,AJCC8,any,T,T0,No evidence of primary tumor,,strict_table_extracted_v1_6,65,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,T,T1,"and T2 are not applicable to LAMN. Acellular mucin or mucinous epithelium that extends into the subserosa or serosa should be classified as T3 or T4a, respectively.",,strict_table_extracted_v1_6,65,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,T,T2,Tumor invades the muscularis propria,,strict_table_extracted_v1_6,65,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,T,T3,Tumor invades through the muscularis propria into the subserosa or the mesoappendix,,strict_table_extracted_v1_6,65,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,T,T4,"Tumor invades the visceral peritoneum, including the acellular mucin or mucinous epithelium involving the serosa of the appendix or mesoappendix, and/or directly invades adjacent organs or structures",,strict_table_extracted_v1_6,65,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,T,T4a,"Tumor invades through the visceral peritoneum, including the acellular mucin or mucinous epithelium involving the serosa of the appendix or serosa of the mesoappendix",,strict_table_extracted_v1_6,65,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,T,T4b,Tumor directly invades or adheres to adjacent organs or structures,,strict_table_extracted_v1_6,65,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,T,TX,Primary tumor cannot be assessed,,strict_table_extracted_v1_6,65,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,T,Tis,Carcinoma in situ (intramucosal carcinoma; invasion of the lamina propria or extension into but not through the muscularis mucosae),,strict_table_extracted_v1_6,65,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,T,Tis(LAMN),Low-grade appendiceal mucinous neoplasm confined by the muscularis propria. Acellular mucin or mucinous epithelium may invade into the muscularis propria.,,strict_table_extracted_v1_6,65,Definition of Primary Tumor (T),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,N,N0,No regional lymph node metastasis,,strict_table_extracted_v1_6,65,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
Appendix - Carcinoma,AJCC8,any,N,N1,"One to three regional lymph nodes are positive (tumor in lymph node measuring ≥0.2 mm) or any number of tumor deposits is present, and all identifiable lymph nodes are negative",,strict_table_extracted_v1_6,65,Definition of Regional Lymph Node (N),strict_table_extraction_v1_6
