edition,page,hit_type,context
AJCC7,76,stage_group,r • 2010 Distant Metastasis (M) M0 No distant metastasis M1 Distant metastasis ANATOMIC STAGE/PROGNOSTIC GROUPS Stage 0 Tis N0 M0 Stage I T1 N0 M0 Stage II T2 N0 M0 Stage III T3 N0 M0 T1 N1 M0 T2 N1 M0 T3 N1 M0 Stage IVA T4a N0 M0 T4a N1
AJCC7,79,definitions_tnm,nt surgery TX T0 Tis T1 T2 T3 T4a T4b T1 T1a T1b T2 T3 T4a T4b T1 T2 T3 T4a T4b PRIMARY TUMOR (T) Primary tumor cannot be assessed No evidence of primary tumor Carcinoma in situ Supraglottis Tumor limited to one subsite of supraglottis with normal vocal cord mobility Tumor invades mucosa of more t
AJCC7,80,stage_group,STASIS (M) No distant metastasis (no pathologic M0; use clinical M to complete stage group) Distant metastasis M1 CLINICAL GROUP T N M 0 Tis N0 M0 I T1 N0 M0 II T2 N0 M0 III T3 N0 M0 T1 N1 M0 T2 N1 M0 T3 N1 M0 IVA T4a N0 M0 T4a N1 M0 T1 N2 M0 T2 N2 M0 T3 N2 M0 T4a N2 M0 IVB T4b Any N M0 Any T
AJCC7,81,stage_group,"ffix and ""y,"" ""r,"" and ""a"" prefixes are used. Although they do not affect the stage grouping, they indicate cases needing separate analysis. m suffix indicates the presence of multiple primary tumors in a single site and is recorded in parentheses: pT(m)NM. y prefix indicates those cases in w"
AJCC7,85,stage_group,"advanced local/regional disease), and Stage IVC (distant metastatic disease) ANATOMIC STAGE/PROGNOSTIC GROUPS Stage 0 Tis N0 M0 Stage I T1 N0 M0 Stage II T2 N0 M0 Stage III T3 N0 M0 T1 N1 M0 T2 N1 M0 T3 N1 M0 Stage IVA T4a N0 M0"
AJCC7,85,chapter_summary,"cavity and paranasal sinuses is not included in this chapter – see Chap. 9.) At-A-Glance SUMMARY OF CHANGES ● T4 lesions have been divided into T4a (moderately advanced local disease) and T4b (very advanced local disease), leading to the stratiﬁ cation of Stage IV into Stage IVA (moderatel"
AJCC7,87,definitions_tnm,eck sites is staged using a uniform classiﬁ cation as discussed in Chap. 9. DEFINITIONS OF TNM Primary Tumor (T) TX Primary tumor cannot be assessed T0 No evidence of primary tumor Tis Carcinoma in situ Maxillary Sinus T1 Tumor limited to maxillary sinus mucosa with no erosion or destruction o
AJCC7,88,stage_group,imension Distant Metastasis (M) M0 No distant metastasis M1 Distant metastasis ANATOMIC STAGE/PROGNOSTIC GROUPS Stage 0 Tis N0 M0 Stage I T1 N0 M0 Stage II T2 N0 M0 Stage III T3 N0 M0 T1 N1 M0 T2 N1 M0 T3 N1 M0 Stage IVA T4a N0 M0 T4a N1
AJCC7,88,definitions_tnm,"72 American Joint Committee on Cancer • 2010 Primary Tumor (T) (continued) T4b Very advanced local disease Tumor invades any of the following: orbital apex, dura, brain, middle cranial fossa, cranial nerves other than maxillary division of trigeminal nerve (V2),"
AJCC7,91,definitions_tnm,ant therapy AND subsequent surgery TX T0 Tis T1 T2 T3 T4a T4b T1 T2 T3 T4a T4b PRIMARY TUMOR (T) Primary tumor cannot be assessed No evidence of primary tumor Tis Carcinoma in situ Maxillary Sinus Tumor limited to maxillary sinus mucosa with no erosion or destruction of bone Tumor causing bone eros
AJCC7,92,stage_group,ASTASIS (M) No distant metastasis (no pathologic M0; use clinical M to complete stage group) Distant metastasis M1 CLINICAL GROUP T N M 0 Tis N0 M0 I T1 N0 M0 II T2 N0 M0 III T3 N0 M0 T1 N1 M0 T2 N1 M0 T3 N1 M0 IVA T4a N0 M0 T4a N1 M0 T1 N2 M0 T2 N2 M0 T3 N2 M0 T4a N2 M0 IVB T4b Any N M0 Any T
AJCC7,95,stage_group,"advanced local/regional disease), and Stage IVC (distant metastatic disease) ANATOMIC STAGE/PROGNOSTIC GROUPS Stage I T1 N0 M0 Stage II T2 N0 M0 Stage III T3 N0 M0 T1 N1 M0 T2 N1 M0 T3 N1 M0 Stage IVA T4a N0 M0 T4a N1 M0 T1 N2"
AJCC7,95,chapter_summary,"s 79 7 7 Major Salivary Glands (Parotid, submandibular, and sublingual) At-A-Glance SUMMAR Y OF CHANGES ● T4 lesions have been divided into T4a (moderately advanced local disease) and T4b (very advanced local disease), leading to the stratiﬁ cation of Stage IV into Stage IVA (moderatel"
AJCC7,96,stage_group,imension Distant Metastasis (M) M0 No distant metastasis M1 Distant metastasis ANATOMIC STAGE/PROGNOSTIC GROUPS Stage I T1 N0 M0 Stage II T2 N0 M0 Stage III T3 N0 M0 T1 N1 M0 T2 N1 M0 T3 N1 M0 Stage IVA T4a N0 M0 T4a N1 M0 T1 N2 M0 T2
AJCC7,96,definitions_tnm,thologic clas- siﬁ cation to those patients who have resection of the cancer. DEFINITIONS OF TNM Primary Tumor (T) TX Primary tumor cannot be assessed T0 No evidence of primary tumor T1 Tumor 2 cm or less in greatest dimension without extraparenchymal extension* T2 Tumor more than 2 cm but not m
AJCC7,99,stage_group,ASTASIS (M) No distant metastasis (no pathologic M0; use clinical M to complete stage group) Distant metastasis M1 STAGE CATEGORY DEFINITIONS CLINICAL Extent of disease before any treatment PATHOLOGIC Extent of disease through completion of definitive surgery M AJOR S ALIVARY G LANDS S TAGING F ORM
AJCC7,99,definitions_tnm,mpleted after neoadjuvant therapy AND subsequent surgery TX T0 T1 T2 T3 T4a T4b PRIMARY TUMOR (T) Primary tumor cannot be assessed No evidence of primary tumor Tumor 2 cm or less in greatest dimension without extraparenchymal extension* Tumor more than 2 cm but not more than 4 cm in greatest dimens
AJCC7,100,stage_group,"ffix and ""y,"" ""r,"" and ""a"" prefixes are used. Although they do not affect the stage grouping, they indicate cases needing separate analysis. m suffix indicates the presence of multiple primary tumors in a single site and is recorded in parentheses: pT(m)NM. y prefix indicates those cases in w"
AJCC7,103,stage_group,"d “unresectable” are replaced with “moderately advanced” and “very advanced” ANATOMIC STAGE/PROGNOSTIC GROUPS Separate stage groupings are recommended for papillary or follicular (differentiated), medullary, and anaplastic (undifferentiated) carcinoma Papillary or follicular (differentiat"
AJCC7,103,chapter_summary,Thyroid 87 8 8 Thyroid At-A-Glance SUMMARY OF CHANGES ● Tumor staging (T1) has been subdivided into T1a ( ≤ 1 cm) and T1b (  1–2 cm) limited to thyroid ● The descriptors to subdivide T categories have been changed to solitary tumor (s
AJCC7,104,stage_group,the tumor. Further information for clinical staging may be obtained by biopsy ANATOMIC STAGE/PROGNOSTIC GROUPS (CONTINUED) Stage IVA T4a N0 M0 T4a N1a M0 T1 N1b M0 T2 N1b M0 T3 N1b M0 T4a N1b M0 Stage IVB T4b Any N M0 Stage IVC Any T Any
AJCC7,105,stage_group,"l VII) Distant Metastasis (M) M0 No distant metastasis M1 Distant metastasis ANATOMIC STAGE/PROGNOSTIC GROUPS Separate stage groupings are recommended for papillary or follicular (differentiated), medullary, and anaplastic (undifferentiated) carcinoma Papillary or follicular (differentiated"
AJCC7,105,definitions_tnm,eon’s descrip- tion of gross unresected residual tumor must also be included. DEFINITIONS OF TNM Primary Tumor (T) Note: All categories may be subdivided: (s) solitary tumor and (m) multifocal tumor (the largest determines the classiﬁ cation). TX Primary tumor cannot be assessed T0 No evidence o
AJCC7,109,stage_group,ASTASIS (M) No distant metastasis (no pathologic M0; use clinical M to complete stage group) Distant metastasis M1 STAGE CATEGORY DEFINITIONS CLINICAL Extent of disease before any treatment PATHOLOGIC Extent of disease through completion of definitive surgery T HYROID S TAGING F ORM left right
AJCC7,109,definitions_tnm,adjuvant therapy AND subsequent surgery TX T0 T1 T1a T1b T2 T3 T4a T4b T4a T4b PRIMARY TUMOR (T) All categories may be subdivided: (s) solitary tumor and (m) multifocal tumor (the largest determines the classification). Primary tumor cannot be assessed No evidence of primary tumor Tumor 2 cm or le
AJCC7,110,stage_group,"94 American Joint Committee on Cancer • 2010 CLINICAL Separate stage groupings are recommended for papillary or follicular (differentiated), medullary, and anaplastic (undifferentiated) carcinoma. Papillary or Follicular (Differentiated) UNDER 45 YEARS GROUP T N M I Any T Any N"
AJCC7,111,stage_group,"ffix and ""y,"" ""r,"" and ""a"" prefixes are used. Although they do not affect the stage grouping, they indicate cases needing separate analysis. m suffix indicates the presence of multiple primary tumors in a single site and is recorded in parentheses: pT(m)NM. y prefix indicates those cases in w"
AJCC7,113,stage_group,Y OF CHANG ES ● This is a new chapter for classiﬁ cation of this rare tumor ANATOMIC STAGE/PROGNOSTIC GROUPS Stage III T3 N0 M0 Stage IVA T4a N0 M0 T3–T4a N1 M0 Stage IVB T4b Any N M0 Stage IVC Any T Any N M1 ICD-O-3 TOPOGRAPHY CODES For a complete de
AJCC7,113,chapter_summary,elanoma of the Head and Neck 97 9 9 Mucosal Melanoma of the Head and Neck At-A-Glance SUMMARY OF CHANG ES ● This is a new chapter for classiﬁ cation of this rare tumor ANATOMIC STAGE/PROGNOSTIC GROUPS Stage III T3 N0 M0 Stage IVA T4a N0 M0 T3–T4a N1 M0 Stage IVB
AJCC7,114,stage_group,sent Distant Metastasis M0 No distant metastasis M1 Distant metastasis present ANATOMIC STAGE/PROGNOSTIC GROUPS Stage III T3 N0 M0 Stage IVA T4a N0 M0 T3–T4a N1 M0 Stage IVB T4b Any N M0 Stage IVC Any T Any N M1 PROGNOSTIC FACTORS (SITE-SPECIFIC FACTORS) (Rec
AJCC7,114,definitions_tnm,"priate anatomic site chapter based on the loca- tion of the mucosal melanoma. DEFINITIONS OF TNM Primary Tumor T3 Mucosal disease T4a Moderately advanced disease Tumor involving deep soft tissue, cartilage, bone, or overlying skin T4b Very advanced disease Tumor involving brain, dura, skull base"
AJCC7,115,stage_group,ASTASIS (M) No distant metastasis (no pathologic M0; use clinical M to complete stage group) Distant metastasis M1 CLINICAL GROUP T N M III T3 N0 M0 IVA T4a N0 M0 T3-T4a N1 M0 IVB T4b Any N M0 IVC Any T Any N M1 PATHOLOGIC GROUP T N M III T3 N0 M0 IVA T4a N0 M0 T3-T4a N1 M0 IVB T4b Any N M0 IVC An
AJCC7,115,definitions_tnm,"staging completed after neoadjuvant therapy AND subsequent surgery T3 T4a T4b PRIMARY TUMOR (T) Mucosal disease Moderately advanced disease Tumor involving deep soft tissue, cartilage, bone, or overlying skin. Very advanced disease Tumor involving brain, dura, skull base, lower cranial nerves (I"
AJCC7,119,stage_group,"of regional lymph nodes containing metastasis ● M is redeﬁ ned ● Separate stage groupings for squamous cell carcinoma and adenocarcinoma ● Stage groupings are reassigned using T, N, M, and G classiﬁ cations ANATOMIC STAGE/PROGNOSTIC GROUPS Squamous Cell Carcinoma * Stage T N M G"
AJCC7,119,chapter_summary,"sophagus and Esophagogastric Junction (Nonmucosal cancers are not included) At-A-Glance SUMMARY OF CHANGES ● Tumor location is simpliﬁ ed, and esophagogastric junction and proximal 5 cm of stomach are included ● Tis is redeﬁ ned and T4 is subclassiﬁ ed ● Regional lymph nodes are redeﬁ n"
AJCC7,120,stage_group,"104 American Joint Committee on Cancer • 2010 INTRODUCTION Previous stage groupings of esophageal cancer were based on a simple, orderly arrangement of increasing pathologic anatomic T, then N, and then M classiﬁ cations. In contrast, this revision is data driven, based on a risk-adju"
AJCC7,121,stage_group,"the stomach (cardia) that extend into the EGJ or esopha- gus (Siewert III) are stage grouped similar to adenocarcinoma of the esophagus. Although Siewert and colleagues subtype EGJ cancers (types I, II, III), not only do their data support a single-stage grouping scheme across this area, but als"
AJCC7,122,stage_group,"106 American Joint Committee on Cancer • 2010 EGJ or esophagus, are stage grouped using the gastric (non- EGJ) cancer staging system (see Chap. 11). Esophageal Wall. The esophageal wall has three layers: mucosa, submucosa, and muscularis propria (Figure 10.2 ). The mucosa is comp"
AJCC7,124,stage_group,"hest histologic grade on biopsy or resection specimen is the required data for stage grouping. Because the data indi- cate that squamous cell carcinoma has a poorer prognosis than adenocarcinoma, if a tumor is of mixed histopatho- logic type or is not otherwise speciﬁ ed, it shall be recorded as"
AJCC7,124,definitions_tnm,"FIGURE 10.4. Celiac lymph node. FIGURE 10.5. T, N, and M classiﬁ cations. Primary tumor (T) is classiﬁ ed by depth of tumor invasion. Regional lymph node classiﬁ cations are determined by metastatic burden. Distant metastatic sites are designated M1. In order to view this proof accurately, t"
AJCC7,125,stage_group,"tasis. Distant Metastasis (M) M0 No distant metastasis M1 Distant metastasis ANATOMIC STAGE/PROGNOSTIC GROUPS Squamous Cell Carcinoma (Figure 10.6 ) * Stage T N M Grade Tumor Location ** 0 Tis (HGD) N0 M0 1, X Any IA T1 N0 M0 1, X Any IB T1 N0 M0 2–3 A"
AJCC7,125,definitions_tnm,"preceded by chemotherapy and/or radiotherapy is designated by the preﬁ x yp. DEFINITIONS OF TNM * Primary Tumor (T)** TX Primary tumor cannot be assessed T0 No evidence of primary tumor Tis High-grade dysplasia*** T1 Tumor invades lamina propria, muscularis mucosae, or submucosa T1a Tumor invad"
AJCC7,126,stage_group,".7. ( A ) Survival after esophagectomy only for adeno- carcinoma stratiﬁ ed by stage groupings, based on worldwide esophageal cancer collaboration (WECC) data. Condensed stage groupings. ( B ) Survival after esophagectomy only for adenocarcinoma stratiﬁ ed by stage groupings, based on world- wid"
AJCC7,127,stage_group,h extracapsular tumor HISTOLOGIC GRADE (G) GX Grade cannot be assessed – stage grouping as G1 G1 Well differentiated G2 Moderately differentiated G3 Poorly differentiated G4 Undifferentiated – stage grouping as G3 squamous HISTOPATHOLOGIC TYPE Squamous cell carcinoma Ade
AJCC7,129,stage_group,"ASTASIS (M) No distant metastasis (no pathologic M0; use clinical M to complete stage group) Distant metastasis M1 CLINICAL Squamous Cell Carcinoma* GROUP T N M Grade Tumor Location** Tumor Location** 0 Tis (HGD) N0 M0 1 Any IA T1 N0 M0 1, X Any IB T1 N0 M0 2-3 Any T2-3 N0 M0 1, X Lower, X IIA T2-3"
AJCC7,129,definitions_tnm,"oadjuvant therapy AND subsequent surgery TX T0 Tis T1 T1a T1b T2 T3 T4 T4a T4b PRIMARY TUMOR (T) Primary tumor cannot be assessed No evidence of primary tumor High-grade dysplasia * Tumor invades lamina propria, muscularis mucosae, or submucosa Tumor invades lamina propria or muscularis mucosae Tum"
AJCC7,130,stage_group,"ffix and ""y,"" ""r,"" and ""a"" prefixes are used. Although they do not affect the stage grouping, they indicate cases needing separate analysis. m suffix indicates the presence of multiple primary tumors in a single site and is recorded in parentheses: pT(m)NM. y prefix indicates those cases in w"
AJCC7,133,stage_group,positive lymph nodes ● Positive peritoneal cytology is classiﬁ ed as M1 ● Stage groupings have been changed ANATOMIC STAGE/PROGNOSTIC GROUPS Stage 0 Tis N0 M0 Stage IA T1 N0 M0 Stage IB T2 N0 M0 T1 N1 M0 Stage IIA T3 N0 M0 T2 N1 M0 T1 N2
AJCC7,133,chapter_summary,"as, and carcinoid tumors [low-grade neuroendocrine tumors] are not included) At-A-Glance SUMMARY OF CHANGES ● Tumors arising at the esophagogastric junction, or arising in the stomach ≤5 cm from the esophagogastric junction and crossing the esophagogastric junction are staged using the TNM"
AJCC7,134,stage_group,"Stage IIIA, 1,031; Stage IIIB, 1,660; Stage IIIC, 1,053; and Stage IV, 6,148. ANATOMIC STAGE/PROGNOSTIC GROUPS (CONTINUED) Stage IIIB T4b N0 M0 T4b N1 M0 T4a N2 M0 T3 N3 M0 Stage IIIC T4b N2 M0 T4b N3 M0 T4a N3 M0 Stage IV Any T Any N"
AJCC7,136,stage_group,xamined. Distant Metastasis (M) M0 No distant metastasis M1 Distant metastasis ANATOMIC STAGE/PROGNOSTIC GROUPS Stage 0 Tis N0 M0 Stage IA T1 N0 M0 Stage IB T2 N0 M0 T1 N1 M0 Stage IIA T3 N0 M0 T2 N1 M0 T1 N2 M0 Stage IIB T4a N0 M0 T3 N1
AJCC7,136,definitions_tnm,120 American Joint Committee on Cancer • 2010 DEFINITIONS OF TNM Primary Tumor (T) TX Primary tumor cannot be assessed T0 No evidence of primary tumor Tis Carcinoma in situ: intraepithelial tumor without invasion of the lamina propria T1 Tumor invades lamina propr
AJCC7,139,stage_group,"ASTASIS (M) No distant metastasis (no pathologic M0; use clinical M to complete stage group) Distant metastasis M1 S TOMACH S TAGING F ORM TUMOR SIZE: HOSPITAL NAME/ADDRESS PATIENT NAME/INFORMATION (continued on next page) In order to view this proof accurately, the Overprint Preview Option must be"
AJCC7,139,definitions_tnm,"oadjuvant therapy AND subsequent surgery TX T0 Tis T1 T1a T1b T2 T3 T4 T4a T4b PRIMARY TUMOR (T) Primary tumor cannot be assessed No evidence of primary tumor Carcinoma in situ: intraepithelial tumor without invasion of the lamina propria Tumor invades lamina propria, muscularis mucosae, or submuco"
AJCC7,140,stage_group,"ffix and ""y,"" ""r,"" and ""a"" prefixes are used. Although they do not affect the stage grouping, they indicate cases needing separate analysis. m suffix indicates the presence of multiple primary tumors in a single site and is recorded in parentheses: pT(m)NM. y prefix indicates those cases in w"
AJCC7,143,stage_group,"nodes), leading to the division of Stage III into Stage IIIA and Stage IIIB ANATOMIC STAGE/PROGNOSTIC GROUPS Stage 0 Tis N0 M0 Stage I T1 N0 M0 T2 N0 M0 Stage IIA T3 N0 M0 Stage IIB T4 N0 M0 Stage IIIA Any T N1 M0 Stage IIIB Any T N2 M0 S"
AJCC7,143,chapter_summary,"tine (Lymphomas, carcinoid tumors, and visceral sarcomas are not included) At-A-Glance SUMMARY OF CHANGES ● T1 lesions have been divided into T1a (invasion of lamina propria) and T1b (invasion of submucosa) to facilitate comparison with tumors of other gastrointestinal sites ● Stage II h"
AJCC7,145,stage_group,ph nodes Distant Metastasis (M) M0 No distant metastasis M1 Distant metastasis ANATOMIC STAGE/PROGNOSTIC GROUPS Stage 0 Tis N0 M0 Stage I T1 N0 M0 T2 N0 M0 Stage IIA T3 N0 M0 Stage IIB T4 N0 M0 Stage IIIA Any T N1 M0 Stage IIIB Any T N2 M0 Sta
