term,soc,version,aliases,g1,g2,g3,g4,g5,definition,note
"Hypophosphatemia","Metabolism and nutrition disorders","CTCAE v5.0","low phosphate;phosphorus","Mild phosphate decrease","Moderate decrease; replacement indicated","Severe decrease; hospitalization or IV replacement indicated","Life-threatening consequences; urgent intervention indicated","Death","Abnormally low serum phosphate.","Use protocol numeric threshold."
"Hypercalcemia","Metabolism and nutrition disorders","CTCAE v5.0","high calcium;Ca","Mild calcium increase","Moderate increase; intervention indicated","Severe increase; hospitalization indicated","Life-threatening consequences; urgent intervention indicated","Death","Abnormally high serum calcium.","Cancer-related or drug-related; use protocol numeric threshold."
"Hypocalcemia","Metabolism and nutrition disorders","CTCAE v5.0","low calcium;Ca","Mild calcium decrease","Moderate decrease; intervention indicated","Severe decrease; hospitalization indicated","Life-threatening consequences; urgent intervention indicated","Death","Abnormally low serum calcium.","Use corrected calcium if needed; protocol threshold governs."
"Hyperglycemia","Metabolism and nutrition disorders","CTCAE v5.0","high glucose;diabetes;ICI diabetes","Mild glucose increase; usually asymptomatic","Moderate glucose increase; medication indicated","Severe hyperglycemia; hospitalization indicated","Life-threatening consequences, ketoacidosis, or urgent intervention indicated","Death","Abnormally high blood glucose.","Important for steroid use and ICI-related diabetes; use protocol numeric threshold."
"Hypoglycemia","Metabolism and nutrition disorders","CTCAE v5.0","low glucose","Mild glucose decrease; usually asymptomatic","Moderate symptoms or oral intervention indicated","Severe symptoms; IV glucose or hospitalization indicated","Life-threatening consequences; urgent intervention indicated","Death","Abnormally low blood glucose.","Consider endocrine toxicity, poor intake, liver dysfunction."
"Dehydration","Metabolism and nutrition disorders","CTCAE v5.0","volume depletion","Increased oral fluids indicated","IV fluids indicated <24 hours","IV fluids or hospitalization indicated >24 hours","Life-threatening consequences; urgent intervention indicated","Death","Excessive loss of body water.","Common with diarrhea, vomiting, fever, poor intake."
"Weight loss","Metabolism and nutrition disorders","CTCAE v5.0","body weight decreased;cachexia","5 to <10% from baseline","10 to <20% from baseline; nutritional support indicated",">=20% from baseline; tube feeding or TPN indicated","Life-threatening consequences; urgent intervention indicated","Death","Decrease in body weight.","Use baseline and protocol-specific timing."
"Anorexia","Metabolism and nutrition disorders","CTCAE v5.0","appetite decreased;poor appetite","Loss of appetite without altered eating habits","Oral intake altered without significant weight loss or malnutrition; oral supplements indicated","Associated with significant weight loss or malnutrition; tube feeding or TPN indicated","Life-threatening consequences; urgent intervention indicated","Death","Loss of appetite.","Different from nausea; can be systemic or endocrine."
"Lung infection","Infections and infestations","CTCAE v5.0","pneumonia;pulmonary infection","Mild symptoms; oral intervention indicated","Moderate symptoms; IV antibiotics or oxygen indicated","Severe symptoms; hospitalization indicated","Life-threatening consequences; urgent intervention indicated","Death","Infection involving the lung.","Differentiate from pneumonitis or ILD."
"Urinary tract infection","Infections and infestations","CTCAE v5.0","UTI;cystitis infection","Mild symptoms; oral antibiotics indicated","Moderate symptoms; IV antibiotics indicated","Severe symptoms; hospitalization indicated","Life-threatening consequences; urgent intervention indicated","Death","Infection involving the urinary tract.","Consider neutropenia, catheter, obstruction."
"Catheter related infection","Infections and infestations","CTCAE v5.0","Port-A infection;central line infection;CLABSI","Local infection; local intervention indicated","Oral or IV antibiotic indicated","Severe infection; hospitalization or line removal indicated","Life-threatening consequences; urgent intervention indicated","Death","Infection related to a catheter or central venous device.","Important for clinical trial safety reporting."
"Sepsis","Infections and infestations","CTCAE v5.0","septicemia;bloodstream infection","-","Moderate symptoms; IV antibiotics indicated","Severe systemic infection; hospitalization indicated","Life-threatening consequences; vasopressor or ICU-level care indicated","Death","Systemic inflammatory response to infection.","Usually SAE-relevant; verify source and cultures."
"Skin infection","Infections and infestations","CTCAE v5.0","cellulitis;soft tissue infection","Localized; topical or oral intervention indicated","Moderate; systemic antibiotics indicated","Severe; hospitalization or IV antibiotics indicated","Life-threatening consequences; urgent intervention indicated","Death","Infection involving the skin or subcutaneous tissue.","Differentiate from rash or immune dermatitis."
"Stevens-Johnson syndrome","Skin and subcutaneous tissue disorders","CTCAE v5.0","SJS;severe skin reaction","-","-","Severe skin/mucosal eruption; hospitalization indicated","Life-threatening consequences; urgent intervention indicated","Death","Severe mucocutaneous hypersensitivity reaction.","Emergency; discontinue suspect drug and manage urgently."
"Toxic epidermal necrolysis","Skin and subcutaneous tissue disorders","CTCAE v5.0","TEN;Lyell syndrome","-","-","-","Life-threatening widespread epidermal necrosis; urgent intervention indicated","Death","Severe life-threatening epidermal necrolysis.","Emergency dermatology/burn-unit level toxicity."
"Acneiform rash","Skin and subcutaneous tissue disorders","CTCAE v5.0","EGFR rash;papulopustular rash","Papules/pustules covering <10% BSA; symptoms absent or mild","10-30% BSA or psychosocial impact; intervention indicated"," >30% BSA or limiting self-care ADL; oral antibiotics indicated","Life-threatening consequences; urgent intervention indicated","Death","Acne-like papulopustular eruption.","Relevant for EGFR inhibitors/antibodies."
"Dry skin","Skin and subcutaneous tissue disorders","CTCAE v5.0","xerosis","Asymptomatic or mild symptoms; moisturizer indicated","Moderate symptoms; limiting instrumental ADL","Severe symptoms; limiting self-care ADL","-","-","Dryness of the skin.","Common targeted therapy toxicity."
"Nail changes","Skin and subcutaneous tissue disorders","CTCAE v5.0","paronychia;nail disorder;onycholysis","Asymptomatic or mild nail changes","Moderate pain or functional impact; local intervention indicated","Severe pain; limiting self-care ADL or surgical intervention indicated","Life-threatening consequences; urgent intervention indicated","Death","Disorder involving the nails or nail folds.","Useful for EGFR, taxane, ADC supportive care."
"Photosensitivity","Skin and subcutaneous tissue disorders","CTCAE v5.0","sun sensitivity;phototoxicity","Painless erythema covering <10% BSA","Tender erythema covering 10-30% BSA","Severe reaction covering >30% BSA; limiting self-care ADL","Life-threatening consequences; urgent intervention indicated","Death","Abnormally increased skin reaction to light exposure.","Counsel sun protection; verify CTCAE details before reporting."
"Skin ulceration","Skin and subcutaneous tissue disorders","CTCAE v5.0","ulcer;wound;skin breakdown","Combined area <1 cm; partial thickness skin loss","Combined area 1-2 cm; intervention indicated","Combined area >2 cm or full-thickness skin loss; operative intervention indicated","Life-threatening consequences; urgent intervention indicated","Death","Breakdown of skin with ulcer formation.","Consider extravasation, infection, pressure injury."
"Hypotension","Vascular disorders","CTCAE v5.0","low blood pressure;shock","Asymptomatic; intervention not indicated","Non-urgent medical intervention indicated","Medical intervention or hospitalization indicated","Life-threatening consequences; urgent intervention indicated","Death","Abnormally low blood pressure.","Could occur with infusion reaction, sepsis, adrenal crisis, dehydration."
"Syncope","Nervous system disorders","CTCAE v5.0","fainting;loss of consciousness","-","Brief loss of consciousness without injury","Loss of consciousness with injury or hospitalization indicated","Life-threatening consequences; urgent intervention indicated","Death","Sudden transient loss of consciousness.","Evaluate arrhythmia, PE, seizure, hypoglycemia, dehydration."
"Atrial fibrillation","Cardiac disorders","CTCAE v5.0","AF;Afib","Asymptomatic; intervention not indicated","Non-urgent medical intervention indicated","Symptomatic and incompletely controlled; hospitalization indicated","Life-threatening consequences; urgent intervention indicated","Death","Irregular atrial rhythm consistent with atrial fibrillation.","May be drug, electrolyte, infection, cardiac toxicity."
"Bradycardia","Cardiac disorders","CTCAE v5.0","slow heart rate","Asymptomatic; intervention not indicated","Symptomatic; intervention indicated","Severe symptoms; hospitalization indicated","Life-threatening consequences; urgent intervention indicated","Death","Abnormally slow heart rate.","Check conduction disease, electrolytes, medication."
"Tachycardia","Cardiac disorders","CTCAE v5.0","fast heart rate;sinus tachycardia","Asymptomatic; intervention not indicated","Symptomatic; non-urgent intervention indicated","Severe symptoms; hospitalization indicated","Life-threatening consequences; urgent intervention indicated","Death","Abnormally fast heart rate.","Consider fever, sepsis, PE, dehydration, pain, hyperthyroidism."
"Ejection fraction decreased","Investigations","CTCAE v5.0","LVEF decreased;cardiomyopathy","Asymptomatic decline; no intervention indicated","Asymptomatic decline requiring intervention or increased monitoring","Symptomatic heart failure or severe decline; intervention indicated","Life-threatening consequences; urgent intervention indicated","Death","Decrease in left ventricular ejection fraction.","Important for HER2, TKI, anthracycline, myocarditis differential."
"Myocardial infarction","Cardiac disorders","CTCAE v5.0","MI;acute coronary syndrome;ACS","-","-","Severe symptoms; hospitalization indicated","Life-threatening consequences; urgent intervention indicated","Death","Injury to heart muscle due to ischemia.","Usually SAE-relevant; distinguish from myocarditis."
"Edema limbs","General disorders and administration site conditions","CTCAE v5.0","peripheral edema;leg edema;limb swelling","Trace edema or asymptomatic swelling","Moderate swelling; limiting instrumental ADL","Severe swelling; limiting self-care ADL","Life-threatening consequences; urgent intervention indicated","Death","Swelling due to fluid accumulation in limbs.","Consider thrombosis, heart failure, hypoalbuminemia, drug toxicity."
"Generalized edema","General disorders and administration site conditions","CTCAE v5.0","anasarca;fluid retention","Mild generalized swelling","Moderate symptoms; medical intervention indicated","Severe symptoms; limiting self-care ADL or hospitalization indicated","Life-threatening consequences; urgent intervention indicated","Death","Diffuse swelling due to fluid accumulation.","Useful for capillary leak, renal, cardiac, hepatic causes."
"Non-cardiac chest pain","General disorders and administration site conditions","CTCAE v5.0","chest pain;thoracic pain","Mild pain","Moderate pain; limiting instrumental ADL","Severe pain; limiting self-care ADL","Life-threatening consequences; urgent intervention indicated","Death","Chest pain not clearly cardiac in origin.","Rule out ACS, PE, myocarditis, pneumonitis."
"Cognitive disturbance","Nervous system disorders","CTCAE v5.0","cognition;memory;brain fog","Mild cognitive symptoms; not limiting ADL","Moderate symptoms; limiting instrumental ADL","Severe symptoms; limiting self-care ADL","Life-threatening consequences; urgent intervention indicated","Death","Impairment of cognitive function.","Consider encephalitis, metabolic encephalopathy, brain metastasis."
"Depressed level of consciousness","Nervous system disorders","CTCAE v5.0","LOC;somnolence;altered consciousness","Mild drowsiness; easily arousable","Moderate somnolence; limiting instrumental ADL","Severe decrease in consciousness; limiting self-care ADL or hospitalization indicated","Life-threatening consequences; urgent intervention indicated","Death","Reduced alertness or arousability.","Urgent evaluation; can be neurologic, metabolic, infectious, endocrine, or drug-related."
"Ataxia","Nervous system disorders","CTCAE v5.0","unsteady gait;coordination","Asymptomatic or mild symptoms","Moderate symptoms; limiting instrumental ADL","Severe symptoms; limiting self-care ADL; assistive device indicated","Life-threatening consequences; urgent intervention indicated","Death","Impaired coordination of voluntary movement.","Consider cerebellar toxicity, metastasis, neuropathy."
"Dizziness","Nervous system disorders","CTCAE v5.0","vertigo;lightheadedness","Mild unsteadiness or sensation of spinning","Moderate symptoms; limiting instrumental ADL","Severe symptoms; limiting self-care ADL or hospitalization indicated","Life-threatening consequences; urgent intervention indicated","Death","Sensation of lightheadedness or spinning.","Differentiate from syncope, hypotension, vestibular toxicity."
"Headache","Nervous system disorders","CTCAE v5.0","cephalalgia","Mild pain","Moderate pain; limiting instrumental ADL","Severe pain; limiting self-care ADL","Life-threatening consequences; urgent intervention indicated","Death","Pain in the head.","Assess meningitis, encephalitis, intracranial lesion if severe."
"Ocular surface disease","Eye disorders","CTCAE v5.0","dry eye;keratitis;ADC eye toxicity","Mild symptoms; lubricants indicated","Moderate symptoms; topical intervention indicated; limiting instrumental ADL","Severe symptoms; limiting self-care ADL or ophthalmology intervention indicated","Sight-threatening consequences; urgent intervention indicated","-","Disorder affecting cornea/conjunctiva/ocular surface.","Important ADC toxicity seed; verify exact protocol term."
"Keratitis","Eye disorders","CTCAE v5.0","corneal inflammation;cornea","Asymptomatic or mild symptoms; lubricants indicated","Moderate symptoms; topical intervention indicated","Severe symptoms; limiting self-care ADL or urgent ophthalmology indicated","Sight-threatening consequences; urgent intervention indicated","-","Inflammation of the cornea.","ADC and targeted therapy relevant; ophthalmology evaluation."
"Watery eye","Eye disorders","CTCAE v5.0","lacrimation increased;tearing","Mild tearing; intervention not indicated","Moderate symptoms; intervention indicated","Severe symptoms; limiting self-care ADL","-","-","Excessive tearing of the eyes.","Ocular ADC supportive-care term."
"Hearing impaired","Ear and labyrinth disorders","CTCAE v5.0","hearing loss;ototoxicity","Mild hearing loss; not requiring intervention","Moderate hearing loss; hearing aid or intervention indicated","Severe hearing loss; limiting self-care ADL","Profound bilateral hearing loss","-","Reduced ability to hear.","Platinum and some targeted agents; audiometry if protocol requires."
"Tinnitus","Ear and labyrinth disorders","CTCAE v5.0","ringing ear","Mild symptoms; intervention not indicated","Moderate symptoms; limiting instrumental ADL","Severe symptoms; limiting self-care ADL","-","-","Perception of sound without external source.","Often ototoxicity-related."
"Infusion related reaction","General disorders and administration site conditions","CTCAE v5.0","IRR;allergic reaction;hypersensitivity infusion","Mild transient reaction; infusion interruption not indicated","Therapy or infusion interruption indicated; responds promptly to symptomatic treatment","Prolonged or recurrent symptoms; hospitalization indicated","Life-threatening consequences; urgent intervention indicated","Death","Adverse reaction temporally related to infusion.","Differentiate from anaphylaxis or CRS when appropriate."
"Anaphylaxis","Immune system disorders","CTCAE v5.0","anaphylactic reaction;severe allergy","-","-","Symptomatic bronchospasm, angioedema, or parenteral intervention indicated","Life-threatening consequences; urgent intervention indicated","Death","Severe systemic hypersensitivity reaction.","Emergency; often SAE-relevant."}
