site,edition,classification,t,n,m,grade,location,stage,note
Oral Cavity,AJCC7,any,T4b,Any,M0,Any,Any,IVB,source_page=45; extract_method=stage_carried; extra_factors/raw_extra=C04.1 Lateral floor of mouth; duplicate_source_page=50; duplicate_source_page=54 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Lip and Oral Cavity -> tool_site=Oral Cavity
Oral Cavity,AJCC7,any,Any,Any,M1,Any,Any,IVC,source_page=45; extract_method=stage_first; extra_factors/raw_extra=of mouth; duplicate_source_page=50; duplicate_source_page=54 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Lip and Oral Cavity -> tool_site=Oral Cavity
Major Salivary Glands,AJCC7,any,T1,N0,M0,Any,Any,I,source_page=95; extract_method=stage_first; extra_factors/raw_extra=C07.9 Parotid gland; duplicate_source_page=100 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Major Salivary Glands -> tool_site=Major Salivary Glands
Major Salivary Glands,AJCC7,any,T2,N0,M0,Any,Any,II,source_page=95; extract_method=stage_first; extra_factors/raw_extra=C08.0 Submandibular; duplicate_source_page=100 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Major Salivary Glands -> tool_site=Major Salivary Glands
Major Salivary Glands,AJCC7,any,T3,N0,M0,Any,Any,III,source_page=95; extract_method=stage_first; extra_factors/raw_extra=C08.1 Sublingual gland; duplicate_source_page=96; duplicate_source_page=100 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Major Salivary Glands -> tool_site=Major Salivary Glands
Major Salivary Glands,AJCC7,any,T1,N1,M0,Any,Any,III,source_page=95; extract_method=stage_carried; extra_factors/raw_extra=C08.8 Overlapping lesion; duplicate_source_page=96; duplicate_source_page=100 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Major Salivary Glands -> tool_site=Major Salivary Glands
Major Salivary Glands,AJCC7,any,T2,N1,M0,Any,Any,III,source_page=95; extract_method=stage_carried; extra_factors/raw_extra=of major salivary; duplicate_source_page=100 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Major Salivary Glands -> tool_site=Major Salivary Glands
Major Salivary Glands,AJCC7,any,T3,N1,M0,Any,Any,III,source_page=95; extract_method=stage_carried; extra_factors/raw_extra=glands; duplicate_source_page=96; duplicate_source_page=100 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Major Salivary Glands -> tool_site=Major Salivary Glands
Major Salivary Glands,AJCC7,any,T4a,N0,M0,Any,Any,IVA,source_page=95; extract_method=stage_first; extra_factors/raw_extra=C08.9 Major salivary | 7; duplicate_source_page=100 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Major Salivary Glands -> tool_site=Major Salivary Glands
Major Salivary Glands,AJCC7,any,T4a,N1,M0,Any,Any,IVA,"source_page=95; extract_method=stage_carried; extra_factors/raw_extra=gland, NOS; duplicate_source_page=100 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Major Salivary Glands -> tool_site=Major Salivary Glands"
Major Salivary Glands,AJCC7,any,T1,N2,M0,Any,Any,IVA,source_page=95; extract_method=stage_carried; duplicate_source_page=100 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Major Salivary Glands -> tool_site=Major Salivary Glands
Major Salivary Glands,AJCC7,any,T2,N2,M0,Any,Any,IVA,source_page=95; extract_method=stage_carried; extra_factors/raw_extra=ICD-O-3 HISTOLOGY; duplicate_source_page=100 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Major Salivary Glands -> tool_site=Major Salivary Glands
Major Salivary Glands,AJCC7,any,T3,N2,M0,Any,Any,IVA,source_page=95; extract_method=stage_carried; extra_factors/raw_extra=CODE RANGES; duplicate_source_page=100 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Major Salivary Glands -> tool_site=Major Salivary Glands
Major Salivary Glands,AJCC7,any,T4a,N2,M0,Any,Any,IVA,"source_page=95; extract_method=stage_carried; extra_factors/raw_extra=8000-8576, 8940-8950,; duplicate_source_page=100 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Major Salivary Glands -> tool_site=Major Salivary Glands"
Major Salivary Glands,AJCC7,any,T4b,Any,M0,Any,Any,IVB,source_page=95; extract_method=stage_first; duplicate_source_page=100 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Major Salivary Glands -> tool_site=Major Salivary Glands
Major Salivary Glands,AJCC7,any,Any,N3,M0,Any,Any,IVB,source_page=95; extract_method=stage_carried; duplicate_source_page=100 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Major Salivary Glands -> tool_site=Major Salivary Glands
Major Salivary Glands,AJCC7,any,Any,Any,M1,Any,Any,IVC,source_page=95; extract_method=stage_first; duplicate_source_page=100 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Major Salivary Glands -> tool_site=Major Salivary Glands
Nasopharynx,AJCC7,yp,Tis,N0,M0,Any,Any,0,"source_page=57; extract_method=stage_first; extra_factors/raw_extra=C02.4 Lingual tonsil; duplicate_source_page=58; duplicate_source_page=62; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,yp,T1,N0,M0,Any,Any,I,"source_page=57; extract_method=stage_first; extra_factors/raw_extra=C05.2 Uvula; duplicate_source_page=58; duplicate_source_page=62; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,yp,T1,N1,M0,Any,Any,II,"source_page=57; extract_method=stage_first; extra_factors/raw_extra=C09.0 Tonsillar fossa | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,yp,T2,N0,M0,Any,Any,II,"source_page=57; extract_method=stage_carried; extra_factors/raw_extra=C09.1 Tonsillar pillar; duplicate_source_page=58; duplicate_source_page=62; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,yp,T2,N1,M0,Any,Any,II,"source_page=57; extract_method=stage_carried; extra_factors/raw_extra=C09.8 Overlapping lesion | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,yp,T1,N2,M0,Any,Any,III,"source_page=57; extract_method=stage_first; extra_factors/raw_extra=C09.9 Tonsil, NOS | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,yp,T2,N2,M0,Any,Any,III,"source_page=57; extract_method=stage_carried; extra_factors/raw_extra=C10.0 Vallecula | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,yp,T3,N0,M0,Any,Any,III,"source_page=57; extract_method=stage_carried; extra_factors/raw_extra=C10.2 Lateral wall of; duplicate_source_page=58; duplicate_source_page=62; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,yp,T3,N1,M0,Any,Any,III,"source_page=57; extract_method=stage_carried; extra_factors/raw_extra=oropharynx; duplicate_source_page=58; duplicate_source_page=62; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,yp,T3,N2,M0,Any,Any,III,"source_page=57; extract_method=stage_carried; extra_factors/raw_extra=C10.3 Posterior pharyngeal | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,yp,T4,N0,M0,Any,Any,IVA,"source_page=57; extract_method=stage_first; extra_factors/raw_extra=wall | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,yp,T4,N1,M0,Any,Any,IVA,"source_page=57; extract_method=stage_carried; extra_factors/raw_extra=C10.4 Branchial cleft | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,yp,T4,N2,M0,Any,Any,IVA,"source_page=57; extract_method=stage_carried; extra_factors/raw_extra=C10.8 Overlapping lesion | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,yp,Any,N3,M0,Any,Any,IVB,"source_page=57; extract_method=stage_first; extra_factors/raw_extra=C10.9 Oropharynx, NOS; duplicate_source_page=58; duplicate_source_page=62; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,yp,Any,Any,M1,Any,Any,IVC,"source_page=57; extract_method=stage_first; extra_factors/raw_extra=C11.0 Superior wall of; duplicate_source_page=58; duplicate_source_page=62; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,yp,T1,N1,M0,Any,Any,III,"source_page=58; extract_method=stage_carried; extra_factors/raw_extra=C13.0 | Postcricoid region; duplicate_source_page=62; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,yp,T2,N1,M0,Any,Any,III,"source_page=58; extract_method=stage_carried; extra_factors/raw_extra=C13.1 | Hypopharyngeal; duplicate_source_page=62; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,yp,T4a,N0,M0,Any,Any,IVA,"source_page=58; extract_method=stage_first; extra_factors/raw_extra=glottic fold; duplicate_source_page=62; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,yp,T4a,N1,M0,Any,Any,IVA,"source_page=58; extract_method=stage_carried; extra_factors/raw_extra=C13.2 | Posterior wall of; duplicate_source_page=62; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,yp,T1,N2,M0,Any,Any,IVA,"source_page=58; extract_method=stage_carried; extra_factors/raw_extra=hypopharynx; duplicate_source_page=62; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,yp,T2,N2,M0,Any,Any,IVA,"source_page=58; extract_method=stage_carried; extra_factors/raw_extra=C13.8 | Overlapping lesion; duplicate_source_page=62; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,yp,T3,N2,M0,Any,Any,IVA,"source_page=58; extract_method=stage_carried; extra_factors/raw_extra=of hypopharynx; duplicate_source_page=62; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,yp,T4a,N2,M0,Any,Any,IVA,"source_page=58; extract_method=stage_carried; extra_factors/raw_extra=C13.9 | Hypopharynx, NOS; duplicate_source_page=62; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,yp,T4b,Any,M0,Any,Any,IVB,"source_page=58; extract_method=stage_first; extra_factors/raw_extra=ICD-O-3 HISTOLOGY; duplicate_source_page=62; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,any,Tis,N0,M0,Any,Any,0,"source_page=62; extract_method=stage_first; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,any,T1,N0,M0,Any,Any,I,"source_page=62; extract_method=stage_first; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,any,T1,N1,M0,Any,Any,II,"source_page=62; extract_method=stage_first; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,any,T2,N0,M0,Any,Any,II,"source_page=62; extract_method=stage_carried; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,any,T2,N1,M0,Any,Any,II,"source_page=62; extract_method=stage_carried; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,any,T1,N2,M0,Any,Any,III,"source_page=62; extract_method=stage_first; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,any,T2,N2,M0,Any,Any,III,"source_page=62; extract_method=stage_carried; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,any,T3,N0,M0,Any,Any,III,"source_page=62; extract_method=stage_carried; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,any,T3,N1,M0,Any,Any,III,"source_page=62; extract_method=stage_carried; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,any,T3,N2,M0,Any,Any,III,"source_page=62; extract_method=stage_carried; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,any,T4,N0,M0,Any,Any,IVA,"source_page=62; extract_method=stage_first; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,any,T4,N1,M0,Any,Any,IVA,"source_page=62; extract_method=stage_carried; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,any,T4,N2,M0,Any,Any,IVA,"source_page=62; extract_method=stage_carried; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,any,Any,N3,M0,Any,Any,IVB,"source_page=62; extract_method=stage_first; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
Nasopharynx,AJCC7,any,Any,Any,M1,Any,Any,IVC,"source_page=62; extract_method=stage_first; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=Nasopharynx; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC7,yp,Tis,N0,M0,Any,Any,0,"source_page=57; extract_method=stage_first; extra_factors/raw_extra=C02.4 Lingual tonsil; duplicate_source_page=58; duplicate_source_page=62; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=HPV-Mediated (p16+) Oropharyngeal Cancer; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
HPV-Mediated (p16+) Oropharyngeal Cancer,AJCC7,yp,T1,N0,M0,Any,Any,I,"source_page=57; extract_method=stage_first; extra_factors/raw_extra=C05.2 Uvula; duplicate_source_page=58; duplicate_source_page=62; duplicate_source_page=69 | provenance=auto_extracted_from_uploaded_manuals_v1_0 | crosswalk_v1.3 source_site=Pharynx (Including base of tongue, soft palate, and uvula) -> tool_site=HPV-Mediated (p16+) Oropharyngeal Cancer; AJCC7 uses a broader Pharynx chapter; AJCC8 splits pharyngeal sites/HPV-mediated disease."
