site,edition,tnm_first_strategy,exception_category,release_status,stage_group_sections,required_extra_inputs,exact_t_categories,exact_n_categories,exact_m_categories,source_pages,tool_note
Perihilar bile duct,AJCC8,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,single/shared table,,TX T0 Tis T1 T2 T2a T2b T3 T4,NX N0 N1 N2,M0 M1 MX,157-159,TNM-first with exact T categories; verify T2a/T2b/T4 details.
Distal bile duct,AJCC8,tnm_basic,TNM-first basic table,build_rule_rows_now,single/shared table,,TX Tis T1 T2 T3 T4,NX N0 N1 N2,M0 M1 MX,160-163,TNM-first table; verify complete T/N/M rows.
Gallbladder,AJCC8,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,single/shared table,,TX T0 Tis T1 T1a T1b T2 T2a T2b T3 T4,NX N0 N1 N2,M0 M1 MX,153-156,TNM-first with exact T categories; preserve T2a/T2b when applicable.
Ampulla of Vater,AJCC8,tnm_exact_subcategories,"TNM-first, exact subcategories required",build_rule_rows_now,single/shared table,,TX T0 Tis T1 T1a T1b T2 T3 T3a T3b T4,NX N0 N1 N2,M0 M1 MX,164-167,TNM-first with exact T subcategories; preserve T1a/T1b and T3a/T3b.
Exocrine pancreas,AJCC8,tnm_basic,TNM-first basic table,build_rule_rows_now,single/shared table,,TX T0 Tis T1 T1a T1b T1c T2 T3 T4,NX N0 N1 N2,M0 M1 MX,168-171,TNM-first table; verify exact T and N subcategories before release.
NET - stomach,AJCC8,tnm_basic,TNM-first basic table,build_rule_rows_now,single/shared table,,TX T0 T1 T2 T3 T4,NX N0 N1,M0 M1 MX,172-175,"TNM-first for well-differentiated NET. High-grade NEC or mixed adenoneuroendocrine carcinoma should be redirected to stomach carcinoma staging, not NET staging."
NET - duodenum / ampulla,AJCC8,tnm_basic,TNM-first basic table,build_rule_rows_now,single/shared table,,TX T1 T2 T3 T4,NX N0 N1,M0 M1 MX,176-181,"TNM-first for well-differentiated NET. High-grade NEC should be redirected to relevant carcinoma staging, not NET staging."
NET - jejunum / ileum,AJCC8,tnm_basic,TNM-first basic table,build_rule_rows_now,single/shared table,,TX T0 T1 T2 T3 T4,NX N0 N1 N2,M0 M1 MX,182-186,"TNM-first for well-differentiated NET. High-grade NEC should be redirected to relevant carcinoma staging, not NET staging."
NET - appendix,AJCC8,tnm_basic,TNM-first basic table,build_rule_rows_now,single/shared table,,TX T0 T1 T2 T3 T4,NX N0 N1,M0 M1 MX,187-191,TNM-first for well-differentiated NET. Goblet cell and high-grade NEC should be staged as appendiceal carcinoma when applicable.
NET - colon / rectum,AJCC8,tnm_basic,TNM-first basic table,build_rule_rows_now,single/shared table,,TX T0 T1 T1a T1b T2 T3 T4,NX N0 N1,M0 M1 MX,192-195,"TNM-first for well-differentiated NET. High-grade NEC should be redirected to colorectal carcinoma staging, not NET staging."
NET - pancreas,AJCC8,tnm_basic,TNM-first basic table,build_rule_rows_now,single/shared table,,TX T1 T2 T3 T4,NX N0 N1,M0 M1 MX,196-200,TNM-first for pancreatic NET; verify tumor-size T categories and nodal rules before release.
Adrenal - neuroendocrine,AJCC8,tnm_basic,TNM-first basic table,build_rule_rows_now,single/shared table,,TX T1 T2 T3,NX N0 N1,M0 M1 MX,460-463,TNM-first; verify exact table rows before validated release.
