tool_site,display_label,ajcc7_import_rule_rows,ajcc8_import_rule_rows,ajcc7_definition_rows,ajcc8_definition_rows,candidate_ajcc7_rule_rows_review_only,candidate_ajcc8_rule_rows_review_only,candidate_ajcc7_definition_rows_review_only,candidate_ajcc8_definition_rows_review_only,coverage_status,crosswalk_note
Soft Tissue Sarcoma of the Retroperitoneum,Soft Tissue Sarcoma of the Retroperitoneum,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Soft Tissue Sarcoma – Unusual Histologies and Sites,Soft Tissue Sarcoma – Unusual Histologies and Sites,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Merkel Cell Carcinoma,Merkel Cell Carcinoma,0,0,0,0,8,0,34,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Melanoma of the Skin,Melanoma of the Skin,0,0,0,0,20,0,18,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Breast,Breast,0,0,0,0,18,21,33,24,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Vulva,Vulva,0,0,0,0,12,5,38,13,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Vagina,Vagina,0,0,0,0,6,0,30,15,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Cervix Uteri,Cervix Uteri,0,0,0,0,20,0,51,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Corpus Uteri – Carcinoma and Carcinosarcoma,Corpus Uteri – Carcinoma and Carcinosarcoma,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Corpus Uteri – Adenosarcoma,Corpus Uteri – Adenosarcoma,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
"Ovary, Fallopian Tube and Primary Peritoneal Carcinoma","Ovary, Fallopian Tube and Primary Peritoneal Carcinoma",0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Gestational Trophoblastic Neoplasms,Gestational Trophoblastic Neoplasms,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Penis,Penis,0,0,0,0,6,6,23,8,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Prostate,Prostate,0,0,0,0,4,0,50,8,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Testis,Testis,0,0,0,0,10,0,13,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Kidney,Kidney,0,0,0,0,5,6,28,10,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Urinary Bladder: Urothelial Carcinomas,Urinary Bladder: Urothelial Carcinomas,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Urinary Bladder: Squamous Cell Carcinoma and Adenocarcinoma,Urinary Bladder: Squamous Cell Carcinoma and Adenocarcinoma,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Male Penile Urethra and Female Urethra: Urothelial Carcinomas,Male Penile Urethra and Female Urethra: Urothelial Carcinomas,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Male Penile and Female Urethra: Squamous Cell Carcinoma and Adenocarcinoma,Male Penile and Female Urethra: Squamous Cell Carcinoma and Adenocarcinoma,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Prostatic Urethra: Urothelial Carcinomas,Prostatic Urethra: Urothelial Carcinomas,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Prostatic Urethra: Squamous Cell Carcinoma and Adenocarcinoma,Prostatic Urethra: Squamous Cell Carcinoma and Adenocarcinoma,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Eyelid Carcinoma,Eyelid Carcinoma,0,0,0,0,0,8,0,15,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Conjunctival Carcinoma,Conjunctival Carcinoma,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Conjunctival Melanoma,Conjunctival Melanoma,0,0,0,0,0,0,0,15,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Uveal Melanoma – Iris Melanoma,Uveal Melanoma – Iris Melanoma,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Uveal Melanoma – Choroidal and Ciliary Body Melanoma,Uveal Melanoma – Choroidal and Ciliary Body Melanoma,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Retinoblastoma,Retinoblastoma,0,0,0,0,0,0,31,5,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Lacrimal Gland Carcinoma,Lacrimal Gland Carcinoma,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Orbital Sarcoma,Orbital Sarcoma,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Ocular Adnexal Lymphoma,Ocular Adnexal Lymphoma,0,0,0,0,0,0,25,23,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Brain and Spinal Cord,Brain and Spinal Cord,0,0,0,0,0,0,5,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Thyroid – Differentiated,Thyroid – Differentiated,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Thyroid – Anaplastic,Thyroid – Anaplastic,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Thyroid – Medullary,Thyroid – Medullary,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Parathyroid,Parathyroid,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Adrenal Cortical Carcinoma,Adrenal Cortical Carcinoma,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Adrenal – Neuroendocrine Tumors,Adrenal – Neuroendocrine Tumors,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Non-Hodgkin Lymphomas: Unspecified or Other Type,Non-Hodgkin Lymphomas: Unspecified or Other Type,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Non-Hodgkin Lymphomas: Diffuse Large B Cell Lymphoma,Non-Hodgkin Lymphomas: Diffuse Large B Cell Lymphoma,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Non-Hodgkin Lymphomas: Mantle Cell Lymphoma,Non-Hodgkin Lymphomas: Mantle Cell Lymphoma,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Non-Hodgkin Lymphomas: Follicular Lymphoma,Non-Hodgkin Lymphomas: Follicular Lymphoma,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Non-Hodgkin Lymphomas: Marginal Zone Lymphoma,Non-Hodgkin Lymphomas: Marginal Zone Lymphoma,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Non-Hodgkin Lymphomas: Chronic Lymphocytic Leukemia and Small Lymphocytic,Non-Hodgkin Lymphomas: Chronic Lymphocytic Leukemia and Small Lymphocytic,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Non-Hodgkin Lymphomas: Peripheral T-cell Lymphoma,Non-Hodgkin Lymphomas: Peripheral T-cell Lymphoma,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Hodgkin Lymphoma,Hodgkin Lymphoma,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Pediatric Hodgkin Lymphoma,Pediatric Hodgkin Lymphoma,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Pediatric Non-Hodgkin Lymphoma,Pediatric Non-Hodgkin Lymphoma,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Primary Cutaneous Lymphoma: Mycosis Fungoides and Sézary Syndrome,Primary Cutaneous Lymphoma: Mycosis Fungoides and Sézary Syndrome,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Primary Cutaneous Lymphoma: Primary Cutaneous B-Cell/T-Cell (non-MF/SS),Primary Cutaneous Lymphoma: Primary Cutaneous B-Cell/T-Cell (non-MF/SS),0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
Plasma Cell Myeloma and Plasma Cell Disorders,Plasma Cell Myeloma and Plasma Cell Disorders,0,0,0,0,0,0,0,0,candidate_review_only_no_formal_rules,v2.2 formal tool excludes candidates; committee must accept rows before formal import.
