site_group,site_order,tool_site,ajcc7_source_sites,ajcc7_source_pages,ajcc7_import_rule_rows,ajcc8_source_sites,ajcc8_source_pages,ajcc8_import_rule_rows,coverage_status,crosswalk_note,review_instruction
Gastrointestinal & HPB / 消化道與肝膽胰,1,Esophagus / EGJ - squamous,Esophagus / EGJ - squamous | Esophagus and EGJ | Esophagus and Esophagogastric Junction,Esophagus and Esophagogastric Junction:p119-132,60,Esophagus / EGJ - squamous | Esophagus and Esophagogastric Junction,Esophagus and Esophagogastric Junction:p58-60,24,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Gastrointestinal & HPB / 消化道與肝膽胰,2,Esophagus / EGJ - adenocarcinoma,Esophagus / EGJ - adenocarcinoma | Esophagus and EGJ | Esophagus and Esophagogastric Junction,Esophagus and Esophagogastric Junction:p119-132,62,Esophagus / EGJ - adenocarcinoma | Esophagus and Esophagogastric Junction,Esophagus and Esophagogastric Junction:p58-60,24,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Gastrointestinal & HPB / 消化道與肝膽胰,3,Stomach,Stomach,Stomach:p133-142,22,Stomach,Stomach:p61-61,69,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Gastrointestinal & HPB / 消化道與肝膽胰,4,Small intestine,Small intestine | Small Intestine,Small Intestine:p143-148,16,Small intestine | Small Intestine,Small Intestine:p62-62,7,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Gastrointestinal & HPB / 消化道與肝膽胰,5,Colon,Colon | Colon and Rectum,Colon and Rectum:p159-180,35,Colon | Colon and Rectum,Colon and Rectum:p66-66,17,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Gastrointestinal & HPB / 消化道與肝膽胰,6,Rectum,Rectum | Colon and Rectum,Colon and Rectum:p159-180,35,Rectum | Colon and Rectum,Colon and Rectum:p66-66,17,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Gastrointestinal & HPB / 消化道與肝膽胰,7,Appendix - carcinoma,Appendix - carcinoma | Appendix,Appendix:p149-158,56,Appendix - carcinoma | Appendix - Carcinoma,Appendix - Carcinoma:p63-65,18,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Gastrointestinal & HPB / 消化道與肝膽胰,9,HCC / Liver,HCC / Liver | Liver (Excluding intrahepatic bile ducts) | Liver,Liver (Excluding intrahepatic bile ducts):p207-216,7,HCC / Liver | Liver,Liver:p68-69,8,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Gastrointestinal & HPB / 消化道與肝膽胰,10,Intrahepatic bile duct,Intrahepatic bile duct | Intrahepatic Bile Ducts,Intrahepatic Bile Ducts:p217-226,7,Intrahepatic bile duct | Intrahepatic Bile Ducts | Intrahepatic Bile Duct,Intrahepatic Bile Ducts:p70-71,9,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Gastrointestinal & HPB / 消化道與肝膽胰,11,Perihilar bile duct,Perihilar bile duct | Perihilar Bile Ducts,Perihilar Bile Ducts:p235-242,17,Perihilar bile duct | Perihilar Bile Ducts,Perihilar Bile Ducts:p74-74,8,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Gastrointestinal & HPB / 消化道與肝膽胰,12,Distal bile duct,Distal bile duct | Distal Bile Duct,Distal Bile Duct:p243-250,9,Distal bile duct | Distal Bile Ducts,Distal Bile Ducts:p75-75,8,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Gastrointestinal & HPB / 消化道與肝膽胰,13,Gallbladder,Gallbladder,Gallbladder:p227-234,18,Gallbladder,Gallbladder:p72-73,10,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Gastrointestinal & HPB / 消化道與肝膽胰,14,Ampulla of Vater,Ampulla of Vater,Ampulla of Vater:p251-256,18,Ampulla of Vater,Ampulla of Vater:p76-77,12,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Gastrointestinal & HPB / 消化道與肝膽胰,15,Exocrine pancreas,Exocrine pancreas | Pancreas - exocrine/endocrine (AJCC7) | Exocrine and Endocrine Pancreas,Exocrine and Endocrine Pancreas:p257-268,18,Exocrine pancreas | Exocrine Pancreas,Exocrine Pancreas:p78-78,8,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Gastrointestinal & HPB / 消化道與肝膽胰,36,Esophagus and Esophagogastric Junction: Other Histologies,Esophagus and EGJ | Esophagus and Esophagogastric Junction,Esophagus and Esophagogastric Junction:p119-132,36,Esophagus and Esophagogastric Junction,Esophagus and Esophagogastric Junction:p58-60,0,ajcc7_only_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Gastrointestinal & HPB / 消化道與肝膽胰,37,Small Intestine: Other Histologies,Small intestine | Small Intestine,Small Intestine:p143-148,16,Small intestine | Small Intestine,Small Intestine:p62-62,7,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Gastrointestinal & HPB / 消化道與肝膽胰,38,Anus,Anus,Anus:p181-190,12,Anus,Anus:p67-67,0,ajcc7_only_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Neuroendocrine & GIST / 神經內分泌與GIST,8,GIST,GIST | Gastrointestinal Stromal Tumor,Gastrointestinal Stromal Tumor:p191-196,19,GIST | Gastrointestinal Stromal Tumor,Gastrointestinal Stromal Tumor:p107-109,0,ajcc7_only_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Neuroendocrine & GIST / 神經內分泌與GIST,16,NET - stomach,NET - stomach | Neuroendocrine Tumors,Neuroendocrine Tumors:p197-206,7,NET - stomach | Neuroendocrine Tumors of the Stomach,Neuroendocrine Tumors of the Stomach:p79-81,18,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Neuroendocrine & GIST / 神經內分泌與GIST,17,NET - duodenum / ampulla,NET - duodenum / ampulla | Neuroendocrine Tumors,Neuroendocrine Tumors:p197-206,7,NET - duodenum / ampulla | Neuroendocrine Tumors of the Duodenum and Ampulla of Vater,Neuroendocrine Tumors of the Duodenum and Ampulla of Vater:p82-82,5,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Neuroendocrine & GIST / 神經內分泌與GIST,18,NET - jejunum / ileum,NET - jejunum / ileum | Neuroendocrine Tumors,Neuroendocrine Tumors:p197-206,7,NET - jejunum / ileum | Neuroendocrine Tumors of the Jejunum and Ileum,Neuroendocrine Tumors of the Jejunum and Ileum:p83-84,21,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Neuroendocrine & GIST / 神經內分泌與GIST,19,NET - appendix,NET - appendix | Neuroendocrine Tumors,Neuroendocrine Tumors:p197-206,17,NET - appendix | Neuroendocrine Tumors of the Appendix,Neuroendocrine Tumors of the Appendix:p85-88,26,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Neuroendocrine & GIST / 神經內分泌與GIST,20,NET - colon / rectum,NET - colon / rectum | Neuroendocrine Tumors,Neuroendocrine Tumors:p197-206,7,NET - colon / rectum | Neuroendocrine Tumors of the Colon and Rectum,Neuroendocrine Tumors of the Colon and Rectum:p89-91,17,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Neuroendocrine & GIST / 神經內分泌與GIST,21,NET - pancreas,NET - pancreas | Neuroendocrine Tumors | Pancreas - exocrine/endocrine (AJCC7),Neuroendocrine Tumors:p197-206,37,NET - pancreas | Neuroendocrine Tumors of the Pancreas,Neuroendocrine Tumors of the Pancreas:p92-93,5,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Bone & Soft Tissue / 骨與軟組織,42,"Bone: Appendicular Skeleton, Trunk, Skull and Facial Bones",Bone,Bone:p297-306,9,Bone,Bone:p99-99,0,ajcc7_only_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Bone & Soft Tissue / 骨與軟組織,43,Bone: Spine,Bone,Bone:p297-306,9,Bone,Bone:p99-99,0,ajcc7_only_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Bone & Soft Tissue / 骨與軟組織,44,Bone: Pelvis,Bone,Bone:p297-306,9,Bone,Bone:p99-99,0,ajcc7_only_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Bone & Soft Tissue / 骨與軟組織,45,Soft Tissue Sarcoma of the Head and Neck,Soft Tissue Sarcoma,Soft Tissue Sarcoma:p307-316,21,Soft Tissue Sarcoma of the Head and Neck,Soft Tissue Sarcoma of the Head and Neck:p101-102,0,ajcc7_only_import_rows,AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site.,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Bone & Soft Tissue / 骨與軟組織,46,Soft Tissue Sarcoma of the Trunk and Extremities,Soft Tissue Sarcoma,Soft Tissue Sarcoma:p307-316,21,Soft Tissue Sarcoma of the Trunk and Extremities,Soft Tissue Sarcoma of the Trunk and Extremities:p103-104,0,ajcc7_only_import_rows,AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site.,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Bone & Soft Tissue / 骨與軟組織,47,Soft Tissue Sarcoma of the Abdomen and Thoracic Visceral Organs,Soft Tissue Sarcoma,Soft Tissue Sarcoma:p307-316,21,Soft Tissue Sarcoma of the Abdomen and Thoracic Visceral Organs,Soft Tissue Sarcoma of the Abdomen and Thoracic Visceral Organs:p105-106,0,ajcc7_only_import_rows,AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site.,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Bone & Soft Tissue / 骨與軟組織,48,Soft Tissue Sarcoma of the Retroperitoneum,Soft Tissue Sarcoma,Soft Tissue Sarcoma:p307-316,21,Soft Tissue Sarcoma of the Retroperitoneum,Soft Tissue Sarcoma of the Retroperitoneum:p110-111,0,ajcc7_only_import_rows,AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site.,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Bone & Soft Tissue / 骨與軟組織,49,Soft Tissue Sarcoma – Unusual Histologies and Sites,Soft Tissue Sarcoma,Soft Tissue Sarcoma:p307-316,21,Soft Tissue Sarcoma – Unusual Histologies and Sites,,0,ajcc7_only_import_rows,AJCC7 has one broader Soft Tissue Sarcoma chapter; AJCC8 splits by anatomic site.,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Skin / 皮膚,50,Merkel Cell Carcinoma,Merkel Cell Carcinoma,Merkel Cell Carcinoma:p331-340,18,Merkel Cell Carcinoma,Merkel Cell Carcinoma:p115-115,0,ajcc7_only_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Skin / 皮膚,51,Melanoma of the Skin,Melanoma of the Skin,Melanoma of the Skin:p341-362,27,Melanoma of the Skin,Melanoma of the Skin:p116-118,0,ajcc7_only_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Gynecologic / 婦癌,53,Vulva,Vulva,Vulva:p395-402,23,Vulva,Vulva:p167-170,3,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Gynecologic / 婦癌,54,Vagina,Vagina,Vagina:p403-410,8,Vagina,Vagina:p171-173,0,ajcc7_only_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Gynecologic / 婦癌,55,Cervix Uteri,Cervix Uteri,Cervix Uteri:p411-418,14,Cervix Uteri,Cervix Uteri:p174-175,0,ajcc7_only_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Gynecologic / 婦癌,56,Corpus Uteri – Carcinoma and Carcinosarcoma,Corpus Uteri,Corpus Uteri:p419-434,12,Corpus Uteri - Carcinoma and Carcinosarcoma | Corpus Uteri – Carcinoma and Carcinosarcoma,Corpus Uteri - Carcinoma and Carcinosarcoma:p176-177,0,ajcc7_only_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Gynecologic / 婦癌,57,Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,Corpus Uteri,Corpus Uteri:p419-434,12,Corpus Uteri - Sarcoma | Corpus Uteri – Leiomyosarcoma and Endometrial Stromal Sarcoma,Corpus Uteri - Sarcoma:p178-181,22,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Gynecologic / 婦癌,58,Corpus Uteri – Adenosarcoma,Corpus Uteri,Corpus Uteri:p419-434,12,Corpus Uteri - Sarcoma | Corpus Uteri – Adenosarcoma,Corpus Uteri - Sarcoma:p178-181,22,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Gynecologic / 婦癌,59,"Ovary, Fallopian Tube and Primary Peritoneal Carcinoma",Ovary and Primary Peritoneal Carcinoma | Fallopian Tube,Ovary and Primary Peritoneal Carcinoma:p435-444 | Fallopian Tube:p445-452,17,"Ovary, Fallopian Tube, and Primary Peritoneal Carcinoma | Ovary, Fallopian Tube and Primary Peritoneal Carcinoma","Ovary, Fallopian Tube, and Primary Peritoneal Carcinoma:p182-184",4,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Gynecologic / 婦癌,60,Gestational Trophoblastic Neoplasms,Gestational Trophoblastic Tumors,Gestational Trophoblastic Tumors:p453-462,0,Gestational Trophoblastic Neoplasms,Gestational Trophoblastic Neoplasms:p185-185,0,site_present_no_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Genitourinary / 泌尿與男性生殖,61,Penis,Penis,Penis:p463-472,22,Penis,Penis:p186-187,5,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Genitourinary / 泌尿與男性生殖,62,Prostate,Prostate,Prostate:p473-484,21,Prostate,Prostate:p188-190,6,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Genitourinary / 泌尿與男性生殖,63,Testis,Testis,Testis:p485-494,17,Testis,Testis:p191-193,0,ajcc7_only_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Genitourinary / 泌尿與男性生殖,64,Kidney,Kidney,Kidney:p495-506,11,Kidney,Kidney:p194-196,12,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
Genitourinary / 泌尿與男性生殖,65,Urinary Bladder: Urothelial Carcinomas,Urinary Bladder,Urinary Bladder:p513-522,22,Urinary Bladder,Urinary Bladder:p200-202,18,both_editions_have_import_rows,,癌委會請優先檢查 import_rule_rows=0 或 crosswalk_note 非空白的項目；若同一章拆成多個 AJCC8 site，AJCC7 rows 已先對應到 split site 供測試。
